Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
1	Spectrogram 1	1	341.22700000000003	374.9506221700001	33.723622170000056	71.4	383.1	\\stellwagen.nefsc.noaa.gov\stellwagen\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_CARIBBEAN\NEFSC_CARIBBEAN_201612_MTQ\in_water\71426_PU202_002K_Martinique_UTCz_20161226_041500.aif	341.22700000000003	71426_PU202_002K_Martinique_UTCz_20161226_041500.aif	MW	SU	raven	0.0
2	Spectrogram 1	1	133.36	182.39976723899986	49.03976723899984	90.9	435.1	\\stellwagen.nefsc.noaa.gov\stellwagen\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_CARIBBEAN\NEFSC_CARIBBEAN_201612_MTQ\in_water\71426_PU202_002K_Martinique_UTCz_20161226_043000.aif	133.36	71426_PU202_002K_Martinique_UTCz_20161226_043000.aif	MW	SU	raven	0.0
3	Spectrogram 1	1	817.0250000000001	862.832920115	45.80792011499989	97.4	396.1	\\stellwagen.nefsc.noaa.gov\stellwagen\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_CARIBBEAN\NEFSC_CARIBBEAN_201612_MTQ\in_water\71426_PU202_002K_Martinique_UTCz_20161226_043000.aif	817.0250000000001	71426_PU202_002K_Martinique_UTCz_20161226_043000.aif	MW	SU	raven	0.0
4	Spectrogram 1	1	338.726	380.88052771199955	42.15452771199955	77.9	370.1	\\stellwagen.nefsc.noaa.gov\stellwagen\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_CARIBBEAN\NEFSC_CARIBBEAN_201612_MTQ\in_water\71426_PU202_002K_Martinique_UTCz_20161226_050000.aif	338.726	71426_PU202_002K_Martinique_UTCz_20161226_050000.aif	MW	SU	raven	0.0
5	Spectrogram 1	1	317.70500000000004	357.6112862350001	39.90628623500004	51.9	363.6	\\stellwagen.nefsc.noaa.gov\stellwagen\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_CARIBBEAN\NEFSC_CARIBBEAN_201612_MTQ\in_water\71426_PU202_002K_Martinique_UTCz_20161226_051500.aif	317.70500000000004	71426_PU202_002K_Martinique_UTCz_20161226_051500.aif	MW	SU	raven	0.0
6	Spectrogram 1	1	325.208	346.2852638559998	21.077263855999774	81.6	333.3	\\stellwagen.nefsc.noaa.gov\stellwagen\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_CARIBBEAN\NEFSC_CARIBBEAN_201612_MTQ\in_water\71426_PU202_002K_Martinique_UTCz_20161226_101500.aif	325.208	71426_PU202_002K_Martinique_UTCz_20161226_101500.aif	MW	SU	raven	0.0
7	Spectrogram 1	1	517.23	559.8060729900099	42.576072990009834	98.8	377.9	\\stellwagen.nefsc.noaa.gov\stellwagen\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_CARIBBEAN\NEFSC_CARIBBEAN_201612_MTQ\in_water\71426_PU202_002K_Martinique_UTCz_20161226_154500.aif	517.23	71426_PU202_002K_Martinique_UTCz_20161226_154500.aif	MW	SU	raven	0.0
8	Spectrogram 1	1	609.414	643.9807127249951	34.566712724995114	43.2	345.3	\\stellwagen.nefsc.noaa.gov\stellwagen\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_CARIBBEAN\NEFSC_CARIBBEAN_201612_MTQ\in_water\71426_PU202_002K_Martinique_UTCz_20161226_151500.aif	609.414	71426_PU202_002K_Martinique_UTCz_20161226_151500.aif	MW	SU	raven	0.0
9	Spectrogram 1	1	641.691	667.405261904998	25.71426190499801	85.3	364.3	\\stellwagen.nefsc.noaa.gov\stellwagen\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_CARIBBEAN\NEFSC_CARIBBEAN_201612_MTQ\in_water\71426_PU202_002K_Martinique_UTCz_20161226_160000.aif	641.691	71426_PU202_002K_Martinique_UTCz_20161226_160000.aif	MW	SU	raven	0.0
10	Spectrogram 1	1	825.9620000000001	863.6200447559968	37.658044755996684	69.8	379.8	\\stellwagen.nefsc.noaa.gov\stellwagen\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_CARIBBEAN\NEFSC_CARIBBEAN_201612_MTQ\in_water\71426_PU202_002K_Martinique_UTCz_20161226_161500.aif	825.9620000000001	71426_PU202_002K_Martinique_UTCz_20161226_161500.aif	MW	SU	raven	0.0
