Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	Begin Date	pulse train type
1	Spectrogram 1	1	2685.516277817	2729.915393418	77.9	389.6	4:44:45.516	2016/12/31	SU
2	Spectrogram 1	1	13843.530351136	13885.146616186	108.2	381.0	7:50:43.530	2016/12/31	SU
3	Spectrogram 1	1	13919.679261654	13949.405165261	129.9	398.3	7:51:59.679	2016/12/31	SU
4	Spectrogram 1	1	15361.488131178	15407.911138089	95.2	363.6	8:16:01.488	2016/12/31	SU
5	Spectrogram 1	1	16071.014726985	16115.540335793	95.2	376.6	8:27:51.015	2016/12/31	SU
6	Spectrogram 1	1	16694.325380922	16731.008410906	246.8	402.6	8:38:14.325	2016/12/31	SU
7	Spectrogram 1	1	17982.505972827	18027.917034083	99.6	376.6	8:59:42.506	2016/12/31	SU
8	Spectrogram 1	1	18756.025031975	18819.651115015	51.9	376.6	9:12:36.025	2016/12/31	SU
9	Spectrogram 1	1	19241.013086320	19286.677133989	90.9	355.0	9:20:41.013	2016/12/31	SU
10	Spectrogram 1	1	19150.317457016	19185.862048138	82.3	324.7	9:19:10.317	2016/12/31	SU
11	Spectrogram 1	1	20066.517574730	20112.687595226	82.3	355.0	9:34:26.518	2016/12/31	SU
12	Spectrogram 1	1	20564.796063369	20618.176196656	77.9	359.3	9:42:44.796	2016/12/31	SU
14	Spectrogram 1	1	23914.688592645	23964.273929726	112.6	372.3	10:38:34.689	2016/12/31	SU
15	Spectrogram 1	1	25406.209292457	25435.302730030	99.6	363.6	11:03:26.209	2016/12/31	SU
16	Spectrogram 1	1	28808.841758491	28833.381440618	69.3	458.9	12:00:08.842	2016/12/31	SU
17	Spectrogram 1	1	29160.758959241	29206.043527290	95.2	311.7	12:06:00.759	2016/12/31	SU
18	Spectrogram 1	1	29383.134016866	29423.864829468	79.6	380.5	12:09:43.134	2016/12/31	SU
19	Spectrogram 1	1	30213.461625205	30265.703319630	119.5	429.2	12:23:33.462	2016/12/31	SU
20	Spectrogram 1	1	30748.286636893	30799.895865284	66.4	349.6	12:32:28.287	2016/12/31	SU
21	Spectrogram 1	1	30998.110720402	31041.624383555	115.0	415.9	12:36:38.111	2016/12/31	SU
22	Spectrogram 1	1	31200.640810026	31243.901486765	119.5	446.9	12:40:00.641	2016/12/31	SU
24	Spectrogram 1	1	31412.137451862	31457.422019911	101.8	172.6	12:43:32.137	2016/12/31	SU
26	Spectrogram 1	1	31264.325594700	31318.717673641	34.6	329.0	12:41:04.326	2016/12/31	SD
27	Spectrogram 1	1	31455.583323442	31489.609996082	108.2	363.6	12:44:15.583	2016/12/31	SU
28	Spectrogram 1	1	31817.181799485	31857.406639260	103.9	398.3	12:50:17.182	2016/12/31	SD
29	Spectrogram 1	1	32203.884632115	32245.880376786	108.2	363.6	12:56:43.885	2016/12/31	SD
32	Spectrogram 1	1	32415.287543003	32453.994464296	229.4	368.0	13:00:15.288	2016/12/31	SU
33	Spectrogram 1	1	32476.530275278	32504.232287576	294.4	389.6	13:01:16.530	2016/12/31	SU
34	Spectrogram 1	1	32610.193911806	32647.382914617	225.1	463.2	13:03:30.194	2016/12/31	SU
35	Spectrogram 1	1	33231.668136332	33281.126980206	112.6	441.6	13:13:51.668	2016/12/31	SU
36	Spectrogram 1	1	33082.785631881	33132.623955376	272.7	385.3	13:11:22.786	2016/12/31	SU
37	Spectrogram 1	1	33846.691207309	33883.500730499	121.2	381.0	13:24:06.691	2016/12/31	SU
38	Spectrogram 1	1	35276.356728976	35315.443129890	173.2	467.5	13:47:56.357	2016/12/31	SU
39	Spectrogram 1	1	35147.194884593	35180.715584406	99.6	428.6	13:45:47.195	2016/12/31	SU
40	Spectrogram 1	1	36150.198000468	36184.351166315	99.6	398.3	14:02:30.198	2016/12/31	SU
41	Spectrogram 1	1	36549.297167369	36588.763047903	121.2	381.0	14:09:09.297	2016/12/31	SU
