Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
1	Spectrogram 1	1	0.0	60.0	60.0	0.0	48000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\UK-UAberdeen-MorayFirth-202101_1136-164\Depl1136_1677725722.210102130002.wav	0.0	Depl1136_1677725722.210102130002.wav	NN		custom_python	0.0
2	Spectrogram 1	1	60.0	120.0	60.0	0.0	48000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\UK-UAberdeen-MorayFirth-202101_1136-164\Depl1136_1677725722.210102130002.wav	60.0	Depl1136_1677725722.210102130002.wav	NN		custom_python	0.0
3	Spectrogram 1	1	120.0	180.0	60.0	0.0	48000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\UK-UAberdeen-MorayFirth-202101_1136-164\Depl1136_1677725722.210102130002.wav	120.0	Depl1136_1677725722.210102130002.wav	NN		custom_python	0.0
4	Spectrogram 1	1	180.0	240.0	60.0	0.0	48000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\UK-UAberdeen-MorayFirth-202101_1136-164\Depl1136_1677725722.210102130002.wav	180.0	Depl1136_1677725722.210102130002.wav	NN		custom_python	0.0
5	Spectrogram 1	1	240.0	300.0	60.0	0.0	48000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\UK-UAberdeen-MorayFirth-202101_1136-164\Depl1136_1677725722.210102130002.wav	240.0	Depl1136_1677725722.210102130002.wav	NN		custom_python	0.0
6	Spectrogram 1	1	300.0	360.0	60.0	0.0	48000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\UK-UAberdeen-MorayFirth-202101_1136-164\Depl1136_1677725722.210102130002.wav	300.0	Depl1136_1677725722.210102130002.wav	NN		custom_python	0.0
7	Spectrogram 1	1	360.0	420.0	60.0	0.0	48000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\UK-UAberdeen-MorayFirth-202101_1136-164\Depl1136_1677725722.210102130002.wav	360.0	Depl1136_1677725722.210102130002.wav	NN		custom_python	0.0
8	Spectrogram 1	1	420.0	480.0	60.0	0.0	48000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\UK-UAberdeen-MorayFirth-202101_1136-164\Depl1136_1677725722.210102130002.wav	420.0	Depl1136_1677725722.210102130002.wav	NN		custom_python	0.0
9	Spectrogram 1	1	480.0	599.9668333333333	119.96683333333328	0.0	48000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\UK-UAberdeen-MorayFirth-202101_1136-164\Depl1136_1677725722.210102130002.wav	480.0	Depl1136_1677725722.210102130002.wav	NN		custom_python	0.0
10	Spectrogram 1	1	0.0	60.0	60.0	0.0	48000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\UK-UAberdeen-MorayFirth-202101_1136-164\Depl1136_1677725722.210103230002.wav	0.0	Depl1136_1677725722.210103230002.wav	NN		custom_python	0.0
