Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
1	Spectrogram 1	1	30.0005	90.7965000000021	60.796000000002095	26.6	381.7	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_050000_052s035ms_ch01.aif	30.0005	SE_Clips_Bac_3100_20100106_050000_052s035ms_ch01.aif	MW	nan	raven	0.0
2	Spectrogram 1	1	29.9995	89.03249999999944	59.03299999999945	54.2	330.4	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_050000_251s711ms_ch01.aif	29.9995	SE_Clips_Bac_3100_20100106_050000_251s711ms_ch01.aif	MW	nan	raven	0.0
3	Spectrogram 1	1	29.9995	123.36949999999898	93.36999999999898	60.2	261.3	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_050000_370s246ms_ch01.aif	29.9995	SE_Clips_Bac_3100_20100106_050000_370s246ms_ch01.aif	MW	nan	raven	0.0
4	Spectrogram 1	1	30.0	101.02700000000186	71.02700000000186	101.6	316.6	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_050000_694s100ms_ch01.aif	30.0	SE_Clips_Bac_3100_20100106_050000_694s100ms_ch01.aif	MW	nan	raven	0.0
5	Spectrogram 1	1	29.9995	106.90649999999924	76.90699999999924	54.2	261.3	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_051500_1072s332ms_ch01.aif	29.9995	SE_Clips_Bac_3100_20100106_051500_1072s332ms_ch01.aif	MW	nan	raven	0.0
6	Spectrogram 1	1	30.0	82.91700000000128	52.91700000000128	46.4	214.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_051500_1171s935ms_ch01.aif	30.0	SE_Clips_Bac_3100_20100106_051500_1171s935ms_ch01.aif	MW	nan	raven	0.0
7	Spectrogram 1	1	30.0	112.55099999999948	82.55099999999948	36.5	231.8	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_051500_1245s313ms_ch01.aif	30.0	SE_Clips_Bac_3100_20100106_051500_1245s313ms_ch01.aif	MW	nan	raven	0.0
8	Spectrogram 1	1	30.0	107.84700000000157	77.84700000000157	46.4	212.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_051500_1448s869ms_ch01.aif	30.0	SE_Clips_Bac_3100_20100106_051500_1448s869ms_ch01.aif	MW	nan	raven	0.0
9	Spectrogram 1	1	30.0	119.1359999999986	89.1359999999986	30.6	285.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_051500_1743s325ms_ch01.aif	30.0	SE_Clips_Bac_3100_20100106_051500_1743s325ms_ch01.aif	MW	nan	raven	0.0
10	Spectrogram 1	1	30.0	85.6810000000005	55.681000000000495	38.5	267.3	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_051500_957s864ms_ch01.aif	30.0	SE_Clips_Bac_3100_20100106_051500_957s864ms_ch01.aif	MW	nan	raven	0.0
11	Spectrogram 1	1	75.862	129.9549999999971	54.09299999999712	56.2	239.6	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_051500_957s864ms_ch01.aif	75.862	SE_Clips_Bac_3100_20100106_051500_957s864ms_ch01.aif	MW	nan	raven	0.0
12	Spectrogram 1	1	30.0	108.55299999999988	78.55299999999988	58.2	261.3	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_053000_1866s799ms_ch01.aif	30.0	SE_Clips_Bac_3100_20100106_053000_1866s799ms_ch01.aif	MW	nan	raven	0.0
13	Spectrogram 1	1	30.0005	72.56950000000315	42.56900000000314	46.4	233.7	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_053000_2073s412ms_ch01.aif	30.0005	SE_Clips_Bac_3100_20100106_053000_2073s412ms_ch01.aif	MW	nan	raven	0.0
14	Spectrogram 1	1	93.9715	193.338500000002	99.367000000002	54.2	223.9	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_053000_2073s412ms_ch01.aif	93.9715	SE_Clips_Bac_3100_20100106_053000_2073s412ms_ch01.aif	MW	nan	raven	0.0
15	Spectrogram 1	1	30.0005	107.61249999999735	77.61199999999735	46.4	269.2	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_053000_2393s974ms_ch01.aif	30.0005	SE_Clips_Bac_3100_20100106_053000_2393s974ms_ch01.aif	MW	nan	raven	0.0
16	Spectrogram 1	1	30.0005	118.4305000000003	88.43000000000029	42.4	223.9	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_053000_2614s699ms_ch01.aif	30.0005	SE_Clips_Bac_3100_20100106_053000_2614s699ms_ch01.aif	MW	nan	raven	0.0
17	Spectrogram 1	1	114.4325	166.40949999999896	51.97699999999895	44.4	283.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_053000_2614s699ms_ch01.aif	114.4325	SE_Clips_Bac_3100_20100106_053000_2614s699ms_ch01.aif	MW	nan	raven	0.0
18	Spectrogram 1	1	30.0005	107.14149999999962	77.14099999999962	48.3	225.8	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_054500_2796s852ms_ch01.aif	30.0005	SE_Clips_Bac_3100_20100106_054500_2796s852ms_ch01.aif	MW	nan	raven	0.0
19	Spectrogram 1	1	116.7845	176.52250000000117	59.73800000000118	72.0	212.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NAVFAC-FL-200912-Site1\SE_Clips_Bac_3100_20100106_054500_2796s852ms_ch01.aif	116.7845	SE_Clips_Bac_3100_20100106_054500_2796s852ms_ch01.aif	MW	nan	raven	0.0
