Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Begin Path	score	rating	tags	notes
306	Waveform 1	1	21134.885000000	21195.681000000	26.600	381.700	30.0005	SE_Clips_Bac_3100_20100106_050000_052s035ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SE_Clips_Bac_3100_20100106_050000_052s035ms_ch01.aif		0	Bac_3100	
306	Spectrogram 1	1	21134.885000000	21195.681000000	26.600	381.700	30.0005	SE_Clips_Bac_3100_20100106_050000_052s035ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SE_Clips_Bac_3100_20100106_050000_052s035ms_ch01.aif		0	Bac_3100	
307	Waveform 1	1	21255.680000000	21314.713000000	54.200	330.400	29.9995	SE_Clips_Bac_3100_20100106_050000_251s711ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SE_Clips_Bac_3100_20100106_050000_251s711ms_ch01.aif		1	Bac_3100	
307	Spectrogram 1	1	21255.680000000	21314.713000000	54.200	330.400	29.9995	SE_Clips_Bac_3100_20100106_050000_251s711ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SE_Clips_Bac_3100_20100106_050000_251s711ms_ch01.aif		1	Bac_3100	
308	Waveform 1	1	21374.712000000	21468.082000000	60.200	261.300	29.9995	SE_Clips_Bac_3100_20100106_050000_370s246ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SE_Clips_Bac_3100_20100106_050000_370s246ms_ch01.aif		2	Bac_3100	
308	Spectrogram 1	1	21374.712000000	21468.082000000	60.200	261.300	29.9995	SE_Clips_Bac_3100_20100106_050000_370s246ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SE_Clips_Bac_3100_20100106_050000_370s246ms_ch01.aif		2	Bac_3100	
309	Waveform 1	1	21528.082000000	21599.109000000	101.600	316.600	30.0000	SE_Clips_Bac_3100_20100106_050000_694s100ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SE_Clips_Bac_3100_20100106_050000_694s100ms_ch01.aif		4	Bac_3100	
309	Spectrogram 1	1	21528.082000000	21599.109000000	101.600	316.600	30.0000	SE_Clips_Bac_3100_20100106_050000_694s100ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SE_Clips_Bac_3100_20100106_050000_694s100ms_ch01.aif		4	Bac_3100	
310	Waveform 1	1	21659.108000000	21736.015000000	54.200	261.300	29.9995	SE_Clips_Bac_3100_20100106_051500_1072s332ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SE_Clips_Bac_3100_20100106_051500_1072s332ms_ch01.aif		3	Bac_3100	
310	Spectrogram 1	1	21659.108000000	21736.015000000	54.200	261.300	29.9995	SE_Clips_Bac_3100_20100106_051500_1072s332ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SE_Clips_Bac_3100_20100106_051500_1072s332ms_ch01.aif		3	Bac_3100	
