Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
1	Spectrogram 1	6	95.8055	170.6810900530001	74.87559005300011	105.7	193.8	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	95.8055	79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	MW	sd	raven	0.0
2	Spectrogram 1	6	685.37	760.6525226069999	75.28252260699992	114.5	207.0	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	685.37	79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	MW	sd	raven	0.0
3	Spectrogram 1	6	864.6235	913.4554065560002	48.83190655600015	132.2	233.5	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	864.6235	79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	MW	sd	raven	0.0
4	Spectrogram 1	6	495.5895	571.0754888849997	75.4859888849997	127.8	193.8	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_003000.aif	495.5895	79296_Brunswick03_002K_M06_UTCm5_20161217_003000.aif	MW	sd	raven	0.0
5	Spectrogram 1	6	775.655	847.8855284470003	72.23052844700032	79.3	202.6	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_004500.aif	775.655	79296_Brunswick03_002K_M06_UTCm5_20161217_004500.aif	MW	sd	raven	0.0
6	Spectrogram 1	6	871.284	923.9817658249998	52.697765824999806	0.0	207.0	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_004500.aif	871.284	79296_Brunswick03_002K_M06_UTCm5_20161217_004500.aif	MW	su	raven	0.0
7	Spectrogram 1	6	411.097	464.81209721200025	53.71509721200027	61.7	295.2	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_010000.aif	411.097	79296_Brunswick03_002K_M06_UTCm5_20161217_010000.aif	MW	sd	raven	0.0
8	Spectrogram 1	6	530.8315	620.2602537089995	89.42875370899947	83.7	202.6	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_010000.aif	530.8315	79296_Brunswick03_002K_M06_UTCm5_20161217_010000.aif	MW	su	raven	0.0
9	Spectrogram 1	6	270.149	353.7736399769998	83.62463997699979	0.0	211.5	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_011500.aif	270.149	79296_Brunswick03_002K_M06_UTCm5_20161217_011500.aif	MW	su	raven	0.0
10	Spectrogram 1	6	876.113	930.8454285980004	54.7324285980003	66.1	286.3	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_011500.aif	876.113	79296_Brunswick03_002K_M06_UTCm5_20161217_011500.aif	MW	c	raven	0.0
11	Spectrogram 1	6	46.1055	126.47467954000001	80.36917954	0.0	229.1	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_013000.aif	46.1055	79296_Brunswick03_002K_M06_UTCm5_20161217_013000.aif	MW	sd	raven	0.0
12	Spectrogram 1	6	635.663	724.5777631880005	88.9147631880005	0.0	185.0	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_013000.aif	635.663	79296_Brunswick03_002K_M06_UTCm5_20161217_013000.aif	MW	sd	raven	0.0
13	Spectrogram 1	6	372.4385	476.8167002630005	104.37820026300051	0.0	224.7	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_014500.aif	372.4385	79296_Brunswick03_002K_M06_UTCm5_20161217_014500.aif	MW	sd	raven	0.0
14	Spectrogram 1	6	185.8325	234.05400772499937	48.221507724999356	79.3	237.9	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	185.8325	79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	MW	c	raven	0.0
15	Spectrogram 1	6	417.174	514.0239480030004	96.84994800300046	0.0	202.6	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	417.174	79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	MW	sd	raven	0.0
16	Spectrogram 1	6	870.4155	920.875136775	50.459636775000035	0.0	207.0	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	870.4155	79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	MW	c	raven	0.0
17	Spectrogram 1	6	155.953	206.61610305200023	50.663103052000224	101.3	211.5	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	155.953	79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	MW	c	raven	0.0
18	Spectrogram 1	6	213.884	252.74605896699902	38.86205896699903	74.9	167.4	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	213.884	79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	MW	c	raven	0.0
19	Spectrogram 1	6	750.14	829.8987807090003	79.75878070900035	114.5	211.5	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	750.14	79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	MW	c	raven	0.0
20	Spectrogram 1	6	119.326	172.227232102	52.901232101999994	123.3	237.9	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	119.326	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	MW	c	raven	0.0
21	Spectrogram 1	6	533.0955	622.0102631879987	88.91476318799869	0.0	296.0	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	533.0955	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	MW	sd	raven	0.0
22	Spectrogram 1	6	246.208	298.7022995479996	52.49429954799959	0.0	197.3	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	246.208	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	MW	c	raven	0.0
23	Spectrogram 1	6	673.894	720.8947100599996	47.00071005999962	139.0	215.2	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	673.894	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	MW	c	raven	0.0
24	Spectrogram 1	6	783.685	834.9585018840012	51.273501884001234	134.5	201.8	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	783.685	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	MW	c	raven	0.0
25	Spectrogram 1	6	288.3905	386.9794412230008	98.5889412230008	143.5	219.7	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_024500.aif	288.3905	79296_Brunswick03_002K_M06_UTCm5_20161217_024500.aif	MW	c	raven	0.0
26	Spectrogram 1	6	747.088	831.9334376410009	84.8454376410009	134.5	269.1	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_030000.aif	747.088	79296_Brunswick03_002K_M06_UTCm5_20161217_030000.aif	MW	c	raven	0.0
27	Spectrogram 1	6	504.936	556.4129681609995	51.47696816099955	125.6	170.4	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_031500.aif	504.936	79296_Brunswick03_002K_M06_UTCm5_20161217_031500.aif	MW	c	raven	0.0
28	Spectrogram 1	6	624.981	675.8475693290004	50.86656932900041	112.1	219.7	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_031500.aif	624.981	79296_Brunswick03_002K_M06_UTCm5_20161217_031500.aif	MW	c	raven	0.0
29	Spectrogram 1	6	16.548	60.08978334599965	43.54178334599965	125.6	210.8	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	16.548	79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	MW	c	raven	0.0
30	Spectrogram 1	6	333.8745	391.8623890359996	57.987889035999615	121.1	224.2	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	333.8745	79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	MW	c	raven	0.0
31	Spectrogram 1	6	556.5895	609.490732102	52.901232101999994	125.6	183.9	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	556.5895	79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	MW	c	raven	0.0
32	Spectrogram 1	6	716.514	758.4280531279991	41.91405312799907	148.0	188.3	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	716.514	79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	MW	c	raven	0.0
33	Spectrogram 1	6	18.149	76.74728786700018	58.59828786700018	139.0	246.6	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	18.149	79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	MW	c	raven	0.0
34	Spectrogram 1	6	624.52	685.1529506399997	60.63295063999976	148.0	210.8	Z:\ACOUSTIC_DATA\BOTTOM_MOUNTED\NEFSC_GA\NEFSC_GA_201611\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	624.52	79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	MW	c	raven	0.0
