Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Q1 Freq (Hz)	Q3 Freq Rel.	Begin Hour	calltype
1	Spectrogram 1	6	995.805554446	1070.681144499	105.7	193.8	74.876	164.1	144.5	0.7143	0	sd
2	Spectrogram 1	6	1585.369889601	1660.652412208	114.5	207.0	75.283	160.2	148.4	0.5652	0	sd
3	Spectrogram 1	6	1764.623679917	1813.455586473	132.2	233.5	48.832	160.2	156.2	0.4800	0	sd
4	Spectrogram 1	6	2295.589727204	2371.075716089	127.8	193.8	75.486	160.2	152.3	0.6875	0	sd
5	Spectrogram 1	6	3475.654792389	3547.885320836	79.3	202.6	72.231	168.0	136.7	0.7667	0	sd
6	Spectrogram 1	6	3571.283942728	3623.981708553	0.0	207.0	52.698	160.2	0.0	0.6792	0	su
7	Spectrogram 1	6	4011.097097777	4064.812194989	61.7	295.2	53.715	160.2	140.6	0.4746	1	sd
8	Spectrogram 1	6	4130.831677150	4220.260430859	83.7	202.6	89.429	164.1	148.4	0.7586	1	su
9	Spectrogram 1	6	4770.148841937	4853.773481914	0.0	211.5	83.625	3.9	3.9	0.6667	1	su
10	Spectrogram 1	6	5376.113009043	5430.845437641	66.1	286.3	54.732	152.3	144.5	0.4821	1	c
11	Spectrogram 1	6	5446.105408440	5526.474587980	0.0	229.1	80.369	171.9	7.8	0.7241	1	sd
12	Spectrogram 1	6	6035.662860214	6124.577623402	0.0	185.0	88.915	160.2	3.9	0.8511	1	sd
13	Spectrogram 1	6	6672.438255087	6776.816455350	0.0	224.7	104.378	164.1	7.8	0.7193	1	sd
14	Spectrogram 1	6	7385.832616616	7434.054124341	79.3	237.9	48.222	93.8	105.5	0.5897	2	c
15	Spectrogram 1	6	7617.173773926	7714.023721929	0.0	202.6	96.850	152.3	3.9	0.0980	2	sd
16	Spectrogram 1	6	8070.415703278	8120.875340053	0.0	207.0	50.460	175.8	0.0	0.3019	2	c
17	Spectrogram 1	6	8255.953156680	8306.616259732	101.3	211.5	50.663	171.9	140.6	0.6429	2	c
18	Spectrogram 1	6	8313.883900716	8352.745959683	74.9	167.4	38.862	164.1	101.6	0.8636	2	c
19	Spectrogram 1	6	8850.140071213	8929.898851922	114.5	211.5	79.759	164.1	148.4	0.6250	2	c
20	Spectrogram 1	6	9119.325956104	9172.227188206	123.3	237.9	52.901	152.3	148.4	0.4286	2	c
21	Spectrogram 1	6	9533.095427656	9622.010190844	0.0	296.0	88.915	152.3	7.8	0.4933	2	sd
22	Spectrogram 1	6	9246.207976639	9298.702276187	0.0	197.3	52.494	148.4	3.9	0.7800	2	c
23	Spectrogram 1	6	9673.894091560	9720.894801620	139.0	215.2	47.001	160.2	156.2	0.5263	2	c
24	Spectrogram 1	6	9783.684944800	9834.958446684	134.5	201.8	51.274	156.2	152.3	0.5625	2	c
25	Spectrogram 1	6	10188.390637149	10286.979578372	143.5	219.7	98.589	160.2	156.2	0.4211	2	c
26	Spectrogram 1	6	11547.087827054	11631.933264695	134.5	269.1	84.845	160.2	152.3	0.3030	3	c
27	Spectrogram 1	6	12204.935894876	12256.412863037	125.6	170.4	51.477	160.2	140.6	0.8000	3	c
28	Spectrogram 1	6	12324.980998493	12375.847567822	112.1	219.7	50.867	171.9	148.4	0.5926	3	c
