Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Q1 Freq (Hz)	Q3 Freq Rel.	calltype
1	Spectrogram 1	6	4098.180664469	4129.514471176	96.9	198.2	31.334	160.2	136.7	0.6800	c
2	Spectrogram 1	6	19428.686824981	19476.094467596	101.3	198.2	47.408	168.0	128.9	0.7083	c
3	Spectrogram 1	6	19998.840927280	20051.538693105	79.3	246.7	52.698	85.9	113.3	0.5476	c
4	Spectrogram 1	6	20560.326916164	20615.059344763	118.9	220.3	54.732	121.1	144.5	0.5200	c
5	Spectrogram 1	6	24090.917603429	24138.935644876	110.1	207.0	48.018	113.3	140.6	0.6667	c
6	Spectrogram 1	6	24363.074545968	24393.594487566	52.9	189.4	30.520	74.2	78.1	0.8529	c
7	Spectrogram 1	6	26057.705826488	26108.775862095	57.3	207.0	51.070	74.2	93.8	0.7368	c
9	Spectrogram 1	6	26922.479098342	26960.527292200	13.2	224.7	38.048	15.6	23.4	0.6981	c
10	Spectrogram 1	6	27673.799123964	27747.250450075	0.0	202.6	73.451	0.0	0.0	0.0196	c
11	Spectrogram 1	6	28918.727989956	28983.837198698	61.7	317.2	65.109	125.0	117.2	0.6000	sd
12	Spectrogram 1	6	30478.096137717	30533.845897702	70.5	400.9	55.750	74.2	117.2	0.4699	sd
13	Spectrogram 1	6	30994.412613037	31053.417833459	0.0	255.5	59.005	3.9	3.9	0.0615	sd
14	Spectrogram 1	6	31411.437545026	31455.793193482	44.1	220.3	44.356	109.4	101.6	0.6591	c
15	Spectrogram 1	6	31644.325496044	31705.568845516	0.0	185.0	61.243	0.0	0.0	0.0426	sd
16	Spectrogram 1	6	31852.410147830	31897.376195117	35.2	251.1	44.966	156.2	101.6	0.5926	c
17	Spectrogram 1	6	32197.876300113	32274.990019216	0.0	211.5	77.114	3.9	0.0	0.0556	sd
18	Spectrogram 1	6	32382.216747362	32420.468407498	48.5	202.6	38.252	82.0	66.4	0.5526	c
