Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Q1 Freq (Hz)	Q3 Freq Rel.	Begin Clock Time	calltype
1	Spectrogram 1	6	1590.660012811	1630.742869442	66.1	193.8	40.083	128.9	82.0	0.5938	0:26:30.660	c
2	Spectrogram 1	6	1811.827856255	1886.703446307	17.6	220.3	74.876	168.0	46.9	0.5686	0:30:11.828	sd
3	Spectrogram 1	6	1672.615605944	1734.062421693	57.3	224.7	61.447	148.4	85.9	0.5714	0:27:52.616	c
6	Spectrogram 1	6	2034.949425961	2083.781332517	35.2	198.2	48.832	54.7	46.9	0.5000	0:33:54.949	c
7	Spectrogram 1	6	2123.864189148	2173.916893369	22.0	233.5	50.053	23.4	27.3	0.3585	0:35:23.864	c
8	Spectrogram 1	6	2472.931384514	2528.070745667	0.0	207.0	55.139	0.0	0.0	0.2453	0:41:12.931	sd
9	Spectrogram 1	6	2702.034412773	2755.139111153	17.6	202.6	53.105	27.3	27.3	0.3478	0:45:02.034	c
10	Spectrogram 1	6	3089.963667106	3158.938735117	26.4	220.3	68.975	27.3	39.1	0.3673	0:51:29.964	c
11	Spectrogram 1	6	3307.265651281	3361.387681047	114.5	229.1	54.122	117.2	132.8	0.5000	0:55:07.266	c
12	Spectrogram 1	6	3872.414033157	3919.821675772	127.8	211.5	47.408	168.0	160.2	0.5238	1:04:32.414	c
13	Spectrogram 1	6	4521.309584778	4564.037503014	101.3	198.2	42.728	101.6	105.5	0.6250	1:15:21.310	c
14	Spectrogram 1	6	5071.604928410	5119.216037302	105.7	237.9	47.611	171.9	136.7	0.5312	1:24:31.605	c
15	Spectrogram 1	6	5227.663563112	5281.785592879	0.0	198.2	54.122	0.0	3.9	0.2800	1:27:07.664	c
16	Spectrogram 1	6	5268.560284853	5314.543663527	74.9	176.2	45.983	171.9	89.8	0.7200	1:27:48.560	c
17	Spectrogram 1	6	5844.614909194	5890.598287867	0.0	502.2	45.983	0.0	3.9	0.1172	1:37:24.615	c
18	Spectrogram 1	6	6547.916893369	6577.622969857	83.7	339.2	29.706	175.8	109.4	0.3594	1:49:07.917	c
19	Spectrogram 1	6	7990.046523738	8026.060054823	35.2	193.8	36.014	50.8	50.8	0.5128	2:13:10.047	c
20	Spectrogram 1	6	10141.582126601	10188.989769216	83.7	497.8	47.408	85.9	93.8	0.2095	2:49:01.582	c
21	Spectrogram 1	6	10704.004510362	10742.866569329	92.5	237.9	38.862	144.5	117.2	0.5278	2:58:24.005	c
22	Spectrogram 1	6	10763.213197061	10806.551514130	118.9	198.2	43.338	171.9	144.5	0.6842	2:59:23.213	c
23	Spectrogram 1	6	11281.971267709	11326.937314996	132.2	198.2	44.966	171.9	152.3	0.6250	3:08:01.971	c
24	Spectrogram 1	6	11333.448235870	11383.297473813	4.4	215.9	49.849	50.8	43.0	0.3774	3:08:53.448	c
25	Spectrogram 1	6	11573.945375659	11614.435164846	110.1	207.0	40.490	121.1	132.8	0.6250	3:12:53.945	c
26	Spectrogram 1	6	11691.773107573	11751.388726827	26.4	202.6	59.616	50.8	46.9	0.2727	3:14:51.773	c
27	Spectrogram 1	6	11878.148217596	11950.785678598	13.2	180.6	72.637	50.8	39.1	0.3810	3:17:58.148	c
28	Spectrogram 1	6	12079.783298417	12138.585052562	48.5	198.2	58.802	50.8	54.7	0.4865	3:21:19.783	c
29	Spectrogram 1	6	12259.363084778	12337.290668990	26.4	237.9	77.928	43.0	50.8	0.4340	3:24:19.363	c
30	Spectrogram 1	6	12500.470623399	12546.657468350	26.4	215.9	46.187	50.8	43.0	0.2917	3:28:20.471	c
31	Spectrogram 1	6	12548.285198568	12595.896307460	13.2	387.7	47.611	175.8	46.9	0.3684	3:29:08.285	c
32	Spectrogram 1	6	12364.351683873	12416.235584589	17.6	171.8	51.884	50.8	39.1	0.5000	3:26:04.352	c
33	Spectrogram 1	6	12693.479184062	12726.237254710	17.6	215.9	32.758	19.5	43.0	0.5400	3:31:33.479	c
34	Spectrogram 1	6	12892.876135833	12925.430740203	13.2	198.2	32.555	19.5	39.1	0.5870	3:34:52.876	c
35	Spectrogram 1	6	13065.212072720	13127.269287302	17.6	211.5	62.057	19.5	39.1	0.4286	3:37:45.212	c
36	Spectrogram 1	6	12818.602803124	12887.374404858	22.0	198.2	68.772	46.9	43.0	0.4773	3:33:38.603	c
37	Spectrogram 1	6	13250.895847400	13320.481314243	0.0	202.6	69.585	0.0	0.0	0.1961	3:40:50.896	sd
38	Spectrogram 1	6	13520.488664846	13566.675509797	35.2	242.3	46.187	58.6	54.7	0.4615	3:45:20.489	c
39	Spectrogram 1	6	13157.301359834	13239.094803316	26.4	198.2	81.793	58.6	50.8	0.6047	3:39:17.301	c
40	Spectrogram 1	6	13364.226563866	13411.023807649	0.0	224.7	46.797	0.0	0.0	0.0175	3:42:44.227	c
41	Spectrogram 1	6	13834.763126790	13902.924329691	22.0	207.0	68.161	171.9	85.9	0.7234	3:50:34.763	sd
42	Spectrogram 1	6	13906.179790128	13978.410318576	26.4	242.3	72.231	66.4	54.7	0.4000	3:51:46.180	su
43	Spectrogram 1	6	13767.415788998	13809.126375848	17.6	211.5	41.711	19.5	35.2	0.5714	3:49:27.416	c
44	Spectrogram 1	6	14092.547383694	14163.687160701	0.0	220.3	71.140	0.0	0.0	0.0179	3:54:52.547	c
45	Spectrogram 1	6	14383.634206481	14418.426939902	0.0	356.8	34.793	0.0	0.0	0.0110	3:59:43.634	c
46	Spectrogram 1	6	14475.397497551	14596.053000000	0.0	229.1	120.656	0.0	0.0	0.0172	4:01:15.397	su
47	Spectrogram 1	6	14700.350263753	14749.792569141	0.0	123.3	49.442	0.0	0.0	0.0323	4:05:00.350	c
48	Spectrogram 1	6	14912.362124717	14952.444981349	110.1	176.2	40.083	175.8	140.6	0.9375	4:08:32.362	c
49	Spectrogram 1	6	15054.097183497	15117.375195742	0.0	286.3	63.278	0.0	0.0	0.0137	4:10:54.097	su
50	Spectrogram 1	6	15116.764796910	15174.345753391	8.8	202.6	57.581	171.9	62.5	0.7083	4:11:56.765	sd
51	Spectrogram 1	6	15327.352393934	15360.720863414	4.4	330.4	33.368	117.2	46.9	0.4512	4:15:27.352	c
