Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Freq 25% (Hz)	Begin Hour	File Offset (s)	Begin File	Begin Path	Begin Date	Begin Clock Time	calltype
1	Waveform 1	6	995.805554446	1070.681144499	105.700	193.800	74.8756			0	95.8055	79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	2016/12/17	0:16:35.8056	sd
1	Spectrogram 1	6	995.805554446	1070.681144499	105.700	193.800	74.8756	136.719	140.625	0	95.8055	79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	2016/12/17	0:16:35.8056	sd
2	Waveform 1	6	1585.369889601	1660.652412208	114.500	207.000	75.2825			0	685.3700	79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	2016/12/17	0:26:25.3699	sd
2	Spectrogram 1	6	1585.369889601	1660.652412208	114.500	207.000	75.2825	117.188	140.625	0	685.3700	79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	2016/12/17	0:26:25.3699	sd
3	Waveform 1	6	1764.623679917	1813.455586473	132.200	233.500	48.8319			0	864.6235	79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	2016/12/17	0:29:24.6237	sd
3	Spectrogram 1	6	1764.623679917	1813.455586473	132.200	233.500	48.8319	167.969	156.250	0	864.6235	79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_001500.aif	2016/12/17	0:29:24.6237	sd
4	Waveform 1	6	2295.589727204	2371.075716089	127.800	193.800	75.4860			0	495.5895	79296_Brunswick03_002K_M06_UTCm5_20161217_003000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_003000.aif	2016/12/17	0:38:15.5897	sd
4	Spectrogram 1	6	2295.589727204	2371.075716089	127.800	193.800	75.4860	140.625	140.625	0	495.5895	79296_Brunswick03_002K_M06_UTCm5_20161217_003000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_003000.aif	2016/12/17	0:38:15.5897	sd
5	Waveform 1	6	3475.654792389	3547.885320836	79.300	202.600	72.2305			0	775.6550	79296_Brunswick03_002K_M06_UTCm5_20161217_004500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_004500.aif	2016/12/17	0:57:55.6548	sd
5	Spectrogram 1	6	3475.654792389	3547.885320836	79.300	202.600	72.2305	171.875	109.375	0	775.6550	79296_Brunswick03_002K_M06_UTCm5_20161217_004500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_004500.aif	2016/12/17	0:57:55.6548	sd
6	Waveform 1	6	3571.283942728	3623.981708553	0.000	207.000	52.6978			0	871.2840	79296_Brunswick03_002K_M06_UTCm5_20161217_004500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_004500.aif	2016/12/17	0:59:31.2839	su
6	Spectrogram 1	6	3571.283942728	3623.981708553	0.000	207.000	52.6978	7.812	3.906	0	871.2840	79296_Brunswick03_002K_M06_UTCm5_20161217_004500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_004500.aif	2016/12/17	0:59:31.2839	su
7	Waveform 1	6	4011.097097777	4064.812194989	61.700	295.200	53.7151			1	411.0970	79296_Brunswick03_002K_M06_UTCm5_20161217_010000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_010000.aif	2016/12/17	1:06:51.0971	sd
