Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Freq 25% (Hz)	Begin Path	Begin File	File Offset (s)	calltype
1	Waveform 1	6	0.000000000	49.849237943	0.000	312.800	49.8492			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	0.0000	SU
1	Spectrogram 1	6	0.000000000	49.849237943	0.000	312.800	49.8492	11.719	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	0.0000	SU
2	Waveform 1	6	66.330006405	134.084276752	0.000	176.200	67.7543			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	66.3300	C
2	Spectrogram 1	6	66.330006405	134.084276752	0.000	176.200	67.7543	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	66.3300	C
3	Waveform 1	6	192.072165787	258.605638470	0.000	383.300	66.5335			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	192.0720	SU
3	Spectrogram 1	6	192.072165787	258.605638470	0.000	383.300	66.5335	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	192.0720	SU
4	Waveform 1	6	265.116559344	333.074295968	0.000	387.700	67.9577			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	265.1165	C
4	Spectrogram 1	6	265.116559344	333.074295968	0.000	387.700	67.9577	7.812	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	265.1165	C
5	Waveform 1	6	434.089977829	491.467468032	0.000	356.800	57.3775			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	434.0900	C
5	Spectrogram 1	6	434.089977829	491.467468032	0.000	356.800	57.3775	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	434.0900	C
