Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Freq 25% (Hz)	Begin Clock Time	Begin Path	Begin File	File Offset (s)	calltype
1	Waveform 1	6	1471.225308026	1529.213197061	26.400	211.500	57.9879			0:24:31.2253	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_001500.aif	571.2255	c
1	Spectrogram 1	6	1471.225308026	1529.213197061	26.400	211.500	57.9879	132.812	50.781	0:24:31.2253	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_001500.aif	571.2255	c
2	Waveform 1	6	1568.482188583	1612.023971929	30.800	185.000	43.5418			0:26:08.4822	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_001500.aif	668.4820	c
2	Spectrogram 1	6	1568.482188583	1612.023971929	30.800	185.000	43.5418	128.906	74.219	0:26:08.4822	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_001500.aif	668.4820	c
3	Waveform 1	6	1590.863479088	1634.201796157	96.900	511.000	43.3383			0:26:30.8635	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_001500.aif	690.8635	c
3	Spectrogram 1	6	1590.863479088	1634.201796157	96.900	511.000	43.3383	128.906	121.094	0:26:30.8635	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_001500.aif	690.8635	c
4	Waveform 1	6	2009.719607573	2063.027772231	13.200	493.400	53.3082			0:33:29.7196	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	209.7195	su
4	Spectrogram 1	6	2009.719607573	2063.027772231	13.200	493.400	53.3082	23.438	54.688	0:33:29.7196	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	209.7195	su
5	Waveform 1	6	2073.404552374	2136.072165787	0.000	202.600	62.6676			0:34:33.4046	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	273.4045	c
5	Spectrogram 1	6	2073.404552374	2136.072165787	0.000	202.600	62.6676	0.000	0.000	0:34:33.4046	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	273.4045	c
6	Waveform 1	6	2176.892504579	2263.365672439	0.000	202.600	86.4732			0:36:16.8925	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	376.8925	su
6	Spectrogram 1	6	2176.892504579	2263.365672439	0.000	202.600	86.4732	0.000	0.000	0:36:16.8925	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	376.8925	su
7	Waveform 1	6	2524.204886398	2575.478388282	0.000	462.600	51.2735			0:42:04.2049	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	724.2050	su
7	Spectrogram 1	6	2524.204886398	2575.478388282	0.000	462.600	51.2735	0.000	0.000	0:42:04.2049	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_003000.aif	724.2050	su
8	Waveform 1	6	3093.015661266	3149.375820083	0.000	237.900	56.3602			0:51:33.0157	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_004500.aif	393.0155	su
8	Spectrogram 1	6	3093.015661266	3149.375820083	0.000	237.900	56.3602	0.000	0.000	0:51:33.0157	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161219_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161219_004500.aif	393.0155	su
