Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
1	Spectrogram 1	1	5.876	39.21499999999266	33.338999999992666	29.9	263.6	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_Bac_3100_20060914_010000_6328s274ms_ch01.aif	5.876	SBNMS_Clips_Bac_3100_20060914_010000_6328s274ms_ch01.aif	MW	nan	raven	0.0
2	Spectrogram 1	1	10.0	54.39400000000023	44.39400000000023	29.9	453.8	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_Bac_3100_20060914_010000_6624s949ms_ch01.aif	10.0	SBNMS_Clips_Bac_3100_20060914_010000_6624s949ms_ch01.aif	MW	nan	raven	0.0
3	Spectrogram 1	1	12.6455	59.56350000000512	46.91800000000512	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20060916_230000_000s626ms_ch01.aif	12.6455	SBNMS_Clips_minke_pt_20060916_230000_000s626ms_ch01.aif	MW	nan	raven	0.0
4	Spectrogram 1	1	15.116	51.69799999999488	36.58199999999488	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20060928_000000_015s115ms_ch01.aif	15.116	SBNMS_Clips_minke_pt_20060928_000000_015s115ms_ch01.aif	MW	nan	raven	0.0
5	Spectrogram 1	1	45.437	90.87400000000535	45.437000000005355	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20060928_000000_083s182ms_ch01.aif	45.437	SBNMS_Clips_minke_pt_20060928_000000_083s182ms_ch01.aif	MW	nan	raven	0.0
6	Spectrogram 1	1	15.836	52.966999999993945	37.130999999993946	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20061006_200000_015s836ms_ch01.aif	15.836	SBNMS_Clips_minke_pt_20061006_200000_015s836ms_ch01.aif	MW	nan	raven	0.0
7	Spectrogram 1	1	46.9725	93.94450000000884	46.97200000000885	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20061006_200000_076s407ms_ch01.aif	46.9725	SBNMS_Clips_minke_pt_20061006_200000_076s407ms_ch01.aif	MW	nan	raven	0.0
8	Spectrogram 1	1	49.9245	99.8495000000029	49.9250000000029	0.0	281.3	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20061006_203000_143s958ms_ch01.aif	49.9245	SBNMS_Clips_minke_pt_20061006_203000_143s958ms_ch01.aif	MW	nan	raven	0.0
9	Spectrogram 1	1	47.232	85.89199999998894	38.65999999998894	0.0	281.3	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20061006_203000_213s566ms_ch01.aif	47.232	SBNMS_Clips_minke_pt_20061006_203000_213s566ms_ch01.aif	MW	nan	raven	0.0
10	Spectrogram 1	1	84.9595	112.79649999999954	27.836999999999534	22.2	318.3	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20060916_230000_000s626ms_ch01.aif	84.9595	SBNMS_Clips_minke_pt_20060916_230000_000s626ms_ch01.aif	MW	nan	raven	0.0
11	Spectrogram 1	1	86.651	105.48300000000943	18.83200000000943	29.3	355.5	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20060928_000000_015s115ms_ch01.aif	86.651	SBNMS_Clips_minke_pt_20060928_000000_015s115ms_ch01.aif	MW	nan	raven	0.0
12	Spectrogram 1	1	74.05	113.74400000000314	39.69400000000314	30.8	298.3	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20061006_200000_015s836ms_ch01.aif	74.05	SBNMS_Clips_minke_pt_20061006_200000_015s836ms_ch01.aif	MW	nan	raven	0.0
13	Spectrogram 1	1	114.3655	166.9285000000092	52.5630000000092	23.6	325.5	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20061006_200000_076s407ms_ch01.aif	114.3655	SBNMS_Clips_minke_pt_20061006_200000_076s407ms_ch01.aif	MW	nan	raven	0.0
14	Spectrogram 1	1	124.4265	174.30950000000163	49.88300000000163	22.2	299.7	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20061006_203000_143s958ms_ch01.aif	124.4265	SBNMS_Clips_minke_pt_20061006_203000_143s958ms_ch01.aif	MW	nan	raven	0.0
15	Spectrogram 1	1	20.491	97.44600000000175	76.95500000000175	0.0	300.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20061008_000000_020s491ms_ch01.aif	20.491	SBNMS_Clips_minke_pt_20061008_000000_020s491ms_ch01.aif	MW	nan	raven	0.0
16	Spectrogram 1	1	60.4005	120.80049999999781	60.39999999999781	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20061008_000000_110s599ms_ch01.aif	60.4005	SBNMS_Clips_minke_pt_20061008_000000_110s599ms_ch01.aif	MW	nan	raven	0.0
17	Spectrogram 1	1	19.1495	38.29849999999762	19.148999999997617	3.9	300.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20061008_000000_185s496ms_ch01.aif	19.1495	SBNMS_Clips_minke_pt_20061008_000000_185s496ms_ch01.aif	MW	nan	raven	0.0
18	Spectrogram 1	1	79.645	130.64399999999978	50.99899999999978	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200609-CH01\SBNMS_Clips_minke_pt_20061008_000000_221s110ms_ch01.aif	79.645	SBNMS_Clips_minke_pt_20061008_000000_221s110ms_ch01.aif	MW	nan	raven	0.0
