Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Begin Path	score	rating	tags	notes
1294	Waveform 1	1	69601.317000000	69628.716000000	56.600	525.000	10.0005	SBNMS_Clips_Bac_3100_20060914_010000_5693s449ms_ch02.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\SBNMS_Clips_Bac_3100_20060914_010000_5693s449ms_ch02.aif			Bac_3100	
1294	Spectrogram 1	1	69601.317000000	69628.716000000	56.600	525.000	10.0005	SBNMS_Clips_Bac_3100_20060914_010000_5693s449ms_ch02.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\SBNMS_Clips_Bac_3100_20060914_010000_5693s449ms_ch02.aif			Bac_3100	
1295	Waveform 1	1	69648.716000000	69698.223000000	41.300	377.200	10.0005	SBNMS_Clips_Bac_3100_20060914_010000_5737s139ms_ch02.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\SBNMS_Clips_Bac_3100_20060914_010000_5737s139ms_ch02.aif			Bac_3100	
1295	Spectrogram 1	1	69648.716000000	69698.223000000	41.300	377.200	10.0005	SBNMS_Clips_Bac_3100_20060914_010000_5737s139ms_ch02.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\SBNMS_Clips_Bac_3100_20060914_010000_5737s139ms_ch02.aif			Bac_3100	
1296	Waveform 1	1	69718.223000000	69727.395000000	45.100	290.800	10.0005	SBNMS_Clips_Bac_3100_20060914_010000_6033s888ms_ch02.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\SBNMS_Clips_Bac_3100_20060914_010000_6033s888ms_ch02.aif			Bac_3100	
1296	Spectrogram 1	1	69718.223000000	69727.395000000	45.100	290.800	10.0005	SBNMS_Clips_Bac_3100_20060914_010000_6033s888ms_ch02.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\SBNMS_Clips_Bac_3100_20060914_010000_6033s888ms_ch02.aif			Bac_3100	
1297	Waveform 1	1	69747.395000000	69755.097000000	54.700	327.300	10.0005	SBNMS_Clips_Bac_3100_20060914_010000_6060s442ms_ch02.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\SBNMS_Clips_Bac_3100_20060914_010000_6060s442ms_ch02.aif			Bac_3100	
1297	Spectrogram 1	1	69747.395000000	69755.097000000	54.700	327.300	10.0005	SBNMS_Clips_Bac_3100_20060914_010000_6060s442ms_ch02.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\SBNMS_Clips_Bac_3100_20060914_010000_6060s442ms_ch02.aif			Bac_3100	
1298	Waveform 1	1	69775.097000000	69831.013000000	58.500	327.300	10.0005	SBNMS_Clips_Bac_3100_20060914_010000_6080s991ms_ch02.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\SBNMS_Clips_Bac_3100_20060914_010000_6080s991ms_ch02.aif			Bac_3100	
1298	Spectrogram 1	1	69775.097000000	69831.013000000	58.500	327.300	10.0005	SBNMS_Clips_Bac_3100_20060914_010000_6080s991ms_ch02.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\SBNMS_Clips_Bac_3100_20060914_010000_6080s991ms_ch02.aif			Bac_3100	
