Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	score	rating	tags	notes
1	Spectrogram 1	8	2.614846847	4.621153153	83.33333333	430.7017544				
2	Spectrogram 1	8	21.87734685	23.88365315	83.33333333	430.7017544				
3	Spectrogram 1	8	60.56984685	63.53594653	18.90243902	430.7017544				
4	Spectrogram 1	8	88.40834685	90.41465315	83.33333333	430.7017544				
5	Spectrogram 1	8	94.80684685	96.81315315	83.33333333	430.7017544				
6	Spectrogram 1	8	101.5403468	103.5466532	83.33333333	430.7017544				
7	Spectrogram 1	8	108.1063468	110.1126532	83.33333333	430.7017544				
8	Spectrogram 1	8	139.4605968	141.4669032	83.33333333	430.7017544				
9	Spectrogram 1	8	159.4669436	162.4714032	57.92682927	430.7017544				
10	Spectrogram 1	8	212.3230968	214.3294032	83.33333333	430.7017544				
11	Spectrogram 1	8	232.6575968	234.6639032	83.33333333	430.7017544				
12	Spectrogram 1	8	240.5300968	242.5364032	83.33333333	430.7017544				
13	Spectrogram 1	8	246.3375833	249.1508309	65.24390244	409.6491228				
14	Spectrogram 1	8	252.9370833	255.1204167	102.6315789	409.6491228				
15	Spectrogram 1	8	259.1225968	261.1289032	83.33333333	430.7017544				
16	Spectrogram 1	8	325.1573338	327.9931532	57.92682927	430.7017544				
17	Spectrogram 1	8	371.8148468	373.8211532	83.33333333	430.7017544				
18	Spectrogram 1	8	378.4478468	380.4541532	83.33333333	430.7017544				
19	Spectrogram 1	8	447.1210968	449.1274032	83.33333333	430.7017544				
20	Spectrogram 1	8	454.0555968	456.0619032	83.33333333	430.7017544				
21	Spectrogram 1	8	461.7270968	463.7334032	83.33333333	430.7017544				
22	Spectrogram 1	8	468.7955968	470.8019032	83.33333333	430.7017544				
23	Spectrogram 1	8	516.7734003	518.7797066	79.36456996	426.732991				
24	Spectrogram 1	8	537.2678468	539.2741532	83.33333333	430.7017544				
25	Spectrogram 1	8	575.4913468	577.4976532	83.33333333	430.7017544				
26	Spectrogram 1	8	581.6553468	584.1757587	49.3902439	430.7017544				
27	Spectrogram 1	8	589.4763367	592.0701532	70.12195122	430.7017544				
28	Spectrogram 1	8	594.5863468	596.5926532	83.33333333	430.7017544				
29	Spectrogram 1	8	602.3583468	604.3646532	83.33333333	430.7017544				
30	Spectrogram 1	8	616.1268468	618.1331532	83.33333333	430.7017544				
31	Spectrogram 1	8	628.3208468	630.3271532	83.33333333	430.7017544				
32	Spectrogram 1	8	642.1228468	644.1291532	83.33333333	430.7017544				
33	Spectrogram 1	8	648.8238801	652.5626806	31.09756098	430.7017544				
34	Spectrogram 1	8	655.402276	657.1589032	42.07317073	430.7017544				
35	Spectrogram 1	8	661.8525968	663.8589032	83.33333333	430.7017544				
36	Spectrogram 1	8	669.3565968	671.3629032	83.33333333	430.7017544				
37	Spectrogram 1	8	675.8555968	678.4503251	62.80487805	430.7017544				
38	Spectrogram 1	8	682.5555968	684.5619032	83.33333333	430.7017544				
39	Spectrogram 1	8	688.6980833	690.8814167	102.6315789	409.6491228				
40	Spectrogram 1	8	702.5215968	704.5279032	83.33333333	430.7017544				
41	Spectrogram 1	8	708.7190968	710.7254032	83.33333333	430.7017544				
42	Spectrogram 1	8	714.8830968	716.8894032	83.33333333	430.7017544				
43	Spectrogram 1	8	721.2815968	724.1204841	44.51219512	430.7017544				
44	Spectrogram 1	8	728.6180968	730.6244032	83.33333333	430.7017544				
45	Spectrogram 1	8	741.7165968	743.7229032	83.33333333	430.7017544				
46	Spectrogram 1	8	749.0530968	751.0594032	83.33333333	430.7017544				
47	Spectrogram 1	8	755.1165968	757.1229032	83.33333333	430.7017544				
48	Spectrogram 1	8	770.8615968	772.8679032	83.33333333	430.7017544				
49	Spectrogram 1	8	784.6953468	786.7016532	83.33333333	430.7017544				
50	Spectrogram 1	8	792.1323468	794.1386532	83.33333333	430.7017544				
51	Spectrogram 1	8	798.5643468	800.5706532	83.33333333	430.7017544				
52	Spectrogram 1	8	820.1048468	822.1111532	83.33333333	430.7017544				
53	Spectrogram 1	8	826.1092847	828.3421532	73.7804878	430.7017544				
54	Spectrogram 1	8	868.6558887	871.6911532	62.80487805	430.7017544				
55	Spectrogram 1	8	877.0213468	878.3578396	43.29268293	430.7017544				
56	Spectrogram 1	8	882.3813468	885.8827673	35.97560976	430.7017544				
57	Spectrogram 1	8	890.5888468	892.5951532	83.33333333	430.7017544				
58	Spectrogram 1	8	903.5355853	906.4225072	45.73170732	430.7017544				
59	Spectrogram 1	8	939.7404263	942.9104032	75	430.7017544				
60	Spectrogram 1	8	947.6375968	950.5782153	64.02439024	430.7017544				
61	Spectrogram 1	8	954.9405968	956.9469032	83.33333333	430.7017544				
62	Spectrogram 1	8	960.7025968	962.7089032	83.33333333	430.7017544				
63	Spectrogram 1	8	966.8665968	969.2722182	59.14634146	430.7017544				
64	Spectrogram 1	8	973.6670968	975.6734032	83.33333333	430.7017544				
65	Spectrogram 1	8	980.7020968	982.7084032	83.33333333	430.7017544				
66	Spectrogram 1	8	1001.137097	1003.536669	62.80487805	430.7017544				
67	Spectrogram 1	8	1008.406597	1011.250903	53.04878049	430.7017544				
68	Spectrogram 1	8	1016.513597	1019.012464	53.04878049	430.7017544				
69	Spectrogram 1	8	1022.467305	1025.856403	56.70731707	430.7017544				
70	Spectrogram 1	8	1037.091221	1040.427153	54.26829268	430.7017544				
71	Spectrogram 1	8	1044.584847	1046.698519	57.92682927	430.7017544				
72	Spectrogram 1	8	1052.859347	1054.865653	83.33333333	430.7017544				
73	Spectrogram 1	8	1067.699847	1069.706153	83.33333333	430.7017544				
74	Spectrogram 1	8	1096.141347	1098.147653	83.33333333	430.7017544				
75	Spectrogram 1	8	1102.941847	1104.948153	83.33333333	430.7017544				
76	Spectrogram 1	8	1116.442347	1119.108201	59.14634146	430.7017544				
77	Spectrogram 1	8	1136.287753	1140.056153	32.31707317	430.7017544				
78	Spectrogram 1	8	1143.175347	1145.181653	83.33333333	430.7017544				
79	Spectrogram 1	8	1162.404347	1164.410653	83.33333333	430.7017544				
80	Spectrogram 1	8	1189.269597	1191.275903	83.33333333	430.7017544				
81	Spectrogram 1	8	1195.098597	1198.048952	34.75609756	430.7017544				
82	Spectrogram 1	8	1202.261019	1204.374403	72.56097561	430.7017544				
83	Spectrogram 1	8	1215.533597	1217.539903	83.33333333	430.7017544				
84	Spectrogram 1	8	1223.439597	1225.445903	83.33333333	430.7017544				
85	Spectrogram 1	8	1230.441097	1232.447403	83.33333333	430.7017544				
86	Spectrogram 1	8	1237.235368	1239.415403	75	430.7017544				
87	Spectrogram 1	8	1245.281597	1248.45177	49.3902439	430.7017544				
88	Spectrogram 1	8	1252.015097	1254.021403	83.33333333	430.7017544				
89	Spectrogram 1	8	1259.653097	1262.223808	83.33333333	430.7017544				
90	Spectrogram 1	8	1293.923597	1295.929903	83.33333333	430.7017544				
91	Spectrogram 1	8	1302.899847	1304.906153	83.33333333	430.7017544				
92	Spectrogram 1	8	1310.470847	1312.477153	83.33333333	430.7017544				
93	Spectrogram 1	8	1316.634847	1318.921062	72.56097561	430.7017544				
94	Spectrogram 1	8	1366.147847	1368.377348	71.34146341	430.7017544				
95	Spectrogram 1	8	1374.254847	1376.261153	83.33333333	430.7017544				
96	Spectrogram 1	8	1380.686847	1382.693153	83.33333333	430.7017544				
97	Spectrogram 1	8	1403.131847	1405.138153	83.33333333	430.7017544				
98	Spectrogram 1	8	1409.831847	1411.838153	83.33333333	430.7017544				
99	Spectrogram 1	8	1415.828347	1417.834653	83.33333333	430.7017544				
100	Spectrogram 1	8	1421.998374	1424.936653	66.46341463	430.7017544				
101	Spectrogram 1	8	1429.059097	1431.065403	83.33333333	430.7017544				
102	Spectrogram 1	8	1436.563097	1438.569403	83.33333333	430.7017544				
103	Spectrogram 1	8	1464.803597	1466.809903	83.33333333	430.7017544				
104	Spectrogram 1	8	1470.967597	1472.973903	83.33333333	430.7017544				
105	Spectrogram 1	8	1503.429097	1505.435403	83.33333333	430.7017544				
106	Spectrogram 1	8	1509.626597	1512.53414	59.14634146	430.7017544				
107	Spectrogram 1	8	1515.656597	1517.662903	83.33333333	430.7017544				
108	Spectrogram 1	8	1530.932597	1532.938903	83.33333333	430.7017544				
109	Spectrogram 1	8	1546.711097	1548.717403	83.33333333	430.7017544				
110	Spectrogram 1	8	1573.159501	1575.482153	75	430.7017544				
111	Spectrogram 1	8	1579.773847	1581.780153	83.33333333	430.7017544				
112	Spectrogram 1	8	1606.841847	1608.848153	83.33333333	430.7017544				
113	Spectrogram 1	8	1609.588847	1611.162753	83.33333333	430.7017544				
114	Spectrogram 1	8	1660.877347	1663.316655	83.33333333	430.7017544				
115	Spectrogram 1	8	1693.605097	1695.611403	83.33333333	430.7017544				
116	Spectrogram 1	8	1701.477597	1703.483903	83.33333333	430.7017544				
117	Spectrogram 1	8	1737.423097	1739.429403	83.33333333	430.7017544				
118	Spectrogram 1	8	1763.251597	1765.257903	83.33333333	430.7017544				
119	Spectrogram 1	8	1770.822597	1772.828903	83.33333333	430.7017544				
120	Spectrogram 1	8	1776.852597	1780.78125	40.85365854	430.7017544				
121	Spectrogram 1	8	1785.864097	1787.870403	83.33333333	430.7017544				
122	Spectrogram 1	8	1793.602597	1795.608903	83.33333333	430.7017544				
123	Spectrogram 1	8	1801.944097	1803.950403	83.33333333	430.7017544				
124	Spectrogram 1	8	1823.114347	1825.120653	83.33333333	430.7017544				
125	Spectrogram 1	8	1829.546347	1831.552653	83.33333333	430.7017544				
126	Spectrogram 1	8	1842.711847	1844.718153	83.33333333	430.7017544				
127	Spectrogram 1	8	1893.799347	1895.805653	83.33333333	430.7017544				
128	Spectrogram 1	8	1901.470847	1903.477153	83.33333333	430.7017544				
129	Spectrogram 1	8	1914.133847	1916.140153	83.33333333	430.7017544				
130	Spectrogram 1	8	1920.398347	1922.404653	83.33333333	430.7017544				
131	Spectrogram 1	8	1926.528847	1928.535153	83.33333333	430.7017544				
132	Spectrogram 1	8	1958.586597	1960.592903	83.33333333	430.7017544				
133	Spectrogram 1	8	1965.186097	1967.192403	83.33333333	430.7017544				
134	Spectrogram 1	8	1971.082097	1973.088403	83.33333333	430.7017544				
135	Spectrogram 1	8	1978.720097	1980.726403	83.33333333	430.7017544				
136	Spectrogram 1	8	1984.951097	1986.957403	83.33333333	430.7017544				
137	Spectrogram 1	8	2003.242097	2005.248403	83.33333333	430.7017544				
138	Spectrogram 1	8	2010.679097	2012.685403	83.33333333	430.7017544				
139	Spectrogram 1	8	2017.647097	2019.653403	83.33333333	430.7017544				
140	Spectrogram 1	8	2031.918097	2033.924403	83.33333333	430.7017544				
141	Spectrogram 1	8	2039.020097	2041.026403	83.33333333	430.7017544				
142	Spectrogram 1	8	2052.989597	2054.995903	83.33333333	430.7017544				
143	Spectrogram 1	8	2087.203333	2091.291004	22.56097561	409.6491228				
144	Spectrogram 1	8	2094.393847	2096.400153	83.33333333	430.7017544				
145	Spectrogram 1	8	2118.681347	2120.687653	83.33333333	430.7017544				
146	Spectrogram 1	8	2132.483347	2134.489653	83.33333333	430.7017544				
