Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	score	rating	tags	notes
1	Spectrogram 1	8	9.488981214	10.43551301	89.63414634	420.1219512				
2	Spectrogram 1	8	34.61940029	35.75523844	25	407.9268293				
3	Spectrogram 1	8	36.41781069	37.7429552	35.97560976	394.5121951				
4	Spectrogram 1	8	67.98464595	69.49909682	7.926829268	373.7804878				
5	Spectrogram 1	8	74.08977601	74.84700145	31.09756098	395.7317073				
6	Spectrogram 1	8	99.5988078	100.5926662	22.56097561	385.9756098				
7	Spectrogram 1	8	219.5243858	220.660224	18.90243902	390.8536585				
8	Spectrogram 1	8	266.6143425	267.8448338	44.51219512	384.7560976				
9	Spectrogram 1	8	292.501987	293.4485188	15.24390244	390.8536585				
10	Spectrogram 1	8	304.5702673	305.9427384	34.75609756	407.9268293				
11	Spectrogram 1	8	311.6692558	312.9470737	26.2195122	353.0487805				
12	Spectrogram 1	8	320.4246749	321.6551662	9.146341463	403.0487805				
13	Spectrogram 1	8	340.585802	341.4376806	33.53658537	365.2439024				
14	Spectrogram 1	8	403.2935332	404.6660043	51.82926829	357.9268293				
15	Spectrogram 1	8	483.1334899	484.7425939	18.90243902	414.0243902				
16	Spectrogram 1	8	435.6175939	436.422146	27.43902439	384.7560976				
17	Spectrogram 1	8	490.4217847	491.5102962	42.07317073	378.6585366				
18	Spectrogram 1	8	544.0901373	545.0366691	15.24390244	415.2439024				
19	Spectrogram 1	8	694.6360188	695.8665101	66.46341463	415.2439024				
20	Spectrogram 1	8	777.2682442	778.451409	48.17073171	392.0731707				
21	Spectrogram 1	8	896.6259032	898.1876806	44.51219512	379.8780488				
22	Spectrogram 1	8	993.9293714	995.3964957	39.63414634	294.5121951				
23	Spectrogram 1	8	1156.543533	1157.726698	43.29268293	388.4146341				
24	Spectrogram 1	8	1209.8806	1211.111091	50.6097561	409.1463415				
25	Spectrogram 1	8	1286.644328	1288.111452	5.487804878	399.3902439				
26	Spectrogram 1	8	1306.19021	1307.420701	14.02439024	394.5121951				
27	Spectrogram 1	8	1388.869762	1389.86362	46.95121951	372.5609756				
28	Spectrogram 1	8	1490.19599	1491.189848	43.29268293	411.5853659				
29	Spectrogram 1	8	1731.51427	1732.602782	32.31707317	375				
30	Spectrogram 1	8	1733.785947	1734.779805	56.70731707	381.097561				
31	Spectrogram 1	8	1816.370845	1818.216582	34.75609756	393.2926829				
32	Spectrogram 1	8	1863.886741	1864.975253	44.51219512	381.097561				
33	Spectrogram 1	8	1881.965499	1882.91203	51.82926829	376.2195122				
34	Spectrogram 1	8	1887.50271	1888.591221	65.24390244	383.5365854				
35	Spectrogram 1	8	1938.473447	1940.082551	49.3902439	398.1707317				
36	Spectrogram 1	8	1997.584357	1999.051481	33.53658537	426.2195122				
37	Spectrogram 1	8	2046.66203	2048.176481	17.68292683	384.7560976				
38	Spectrogram 1	8	2080.074603	2081.305094	28.65853659	350.6097561				
39	Spectrogram 1	8	2112.824603	2114.38638	15.24390244	349.3902439				
40	Spectrogram 1	8	2180.832912	2182.205383	17.68292683	406.7073171				
41	Spectrogram 1	8	2184.429733	2186.27547	11.58536585	390.8536585				
42	Spectrogram 1	8	2339.235007	2340.323519	44.51219512	387.195122				
43	Spectrogram 1	8	2413.4431	2414.342305	55.48780488	406.7073171				
44	Spectrogram 1	8	2609.895773	2611.268244	54.26829268	399.3902439				
45	Spectrogram 1	8	2798.2556	2799.202132	72.56097561	444.5121951				
46	Spectrogram 1	8	3019.460079	3020.785224	14.02439024	406.7073171				
47	Spectrogram 1	8	3032.238259	3033.516077	38.41463415	409.1463415				
48	Spectrogram 1	8	3070.951409	3072.32388	44.51219512	404.2682927				
49	Spectrogram 1	8	3058.551842	3059.782334	75	429.8780488				
50	Spectrogram 1	8	3129.967666	3131.482117	9.146341463	420.1219512				
51	Spectrogram 1	8	3163.853504	3165.131322	70.12195122	409.1463415				
52	Spectrogram 1	8	3216.859285	3218.089776	65.24390244	405.4878049				
53	Spectrogram 1	8	3540.857117	3542.229588	38.41463415	345.7317073				
54	Spectrogram 1	8	3831.016438	3832.010296	65.24390244	412.804878				
55	Spectrogram 1	8	3841.854227	3843.084718	79.87804878	420.1219512				
56	Spectrogram 1	8	3895.001987	3895.901192	53.04878049	418.902439				
57	Spectrogram 1	8	3939.441655	3940.151553	39.63414634	373.7804878				
58	Spectrogram 1	8	4041.998374	4043.276192	168.902439	405.4878049				
59	Spectrogram 1	8	4074.795701	4075.884212	66.46341463	429.8780488				
60	Spectrogram 1	8	4235.327493	4236.416004	55.48780488	281.097561				
61	Spectrogram 1	8	4245.36073	4247.01716	83.53658537	416.4634146				
62	Spectrogram 1	8	4374.27836	4375.366871	111.5853659	389.6341463				
63	Spectrogram 1	8	4520.138909	4521.416727	42.07317073	403.0487805				
64	Spectrogram 1	8	4779.583273	4780.435152	0	334.7560976				
65	Spectrogram 1	8	4781.097724	4781.949603	43.29268293	276.2195122				
66	Spectrogram 1	8	4890.990065	4892.646496	48.17073171	393.2926829				
67	Spectrogram 1	8	5001.686958	5003.532695	61.58536585	378.6585366				
68	Spectrogram 1	8	5062.690932	5064.016077	33.53658537	365.2439024				
69	Spectrogram 1	8	5094.77836	5095.961525	7.926829268	270.1219512				
70	Spectrogram 1	8	5112.431178	5113.850975	34.75609756	422.5609756				
71	Spectrogram 1	8	5214.751264	5216.123736	67.68292683	404.2682927				
72	Spectrogram 1	8	5456.779444	5458.199241	0	393.2926829				
73	Spectrogram 1	8	5495.492594	5496.912392	32.31707317	309.1463415				
74	Spectrogram 1	8	6480.169617	6481.684068	51.82926829	196.9512195				
75	Spectrogram 1	8	6501.987175	6503.264993	0	242.0731707				
76	Spectrogram 1	8	7693.292088	7694.617233	15.24390244	348.1707317				
77	Spectrogram 1	8	7872.044617	7873.369762	5.487804878	333.5365854				
78	Spectrogram 1	8	7906.167088	7907.492233	7.926829268	292.0731707				
79	Spectrogram 1	8	13883.37337	13885.59772	0	248.1707317				
80	Spectrogram 1	8	14152.14108	14152.94563	0	226.2195122				
81	Spectrogram 1	8	14493.31846	14494.40697	0.609756098	256.7073171				
82	Spectrogram 1	8	14497.43587	14498.24043	20.12195122	215.2439024				
83	Spectrogram 1	8	14572.25921	14573.58436	0	233.5365854				
84	Spectrogram 1	8	14831.5616	14833.12337	34.75609756	275				
85	Spectrogram 1	8	15435.11759	15436.06413	5.487804878	255.4878049				
86	Spectrogram 1	8	15445.48212	15446.38132	11.58536585	340.8536585				
87	Spectrogram 1	8	17494.59784	17495.54437	10.36585366	233.5365854				
88	Spectrogram 1	8	17940.41432	17941.55015	14.02439024	390.8536585				
89	Spectrogram 1	8	18118.26764	18119.21417	21.34146341	277.4390244				
90	Spectrogram 1	8	18148.41468	18149.40854	21.34146341	256.7073171				
91	Spectrogram 1	8	18143.58736	18144.81786	28.65853659	248.1707317				
92	Spectrogram 1	8	18270.3753	18271.74777	27.43902439	300.6097561				
93	Spectrogram 1	8	18286.37169	18287.4602	29.87804878	382.3170732				
94	Spectrogram 1	8	18353.29148	18354.00138	27.43902439	361.5853659				
95	Spectrogram 1	8	18608.71309	18609.56497	0	196.9512195				
96	Spectrogram 1	8	18907.67515	18909.47356	7.926829268	362.804878				
97	Spectrogram 1	8	18959.97104	18960.82291	0	250.6097561				
98	Spectrogram 1	8	19356.04726	19357.32508	23.7804878	340.8536585				
99	Spectrogram 1	8	19614.40312	19615.53895	4.268292683	214.0243902				
100	Spectrogram 1	8	19738.54076	19739.77125	18.90243902	311.5853659				
101	Spectrogram 1	8	19849.47429	19850.5628	21.34146341	254.2682927				
102	Spectrogram 1	8	19931.7279	19933.1477	0	306.7073171				
103	Spectrogram 1	8	20146.212	20147.6318	10.36585366	410.3658537				
104	Spectrogram 1	8	20352.60326	20353.88108	20.12195122	377.4390244				
105	Spectrogram 1	8	20431.59134	20432.86916	40.85365854	442.0731707				
106	Spectrogram 1	8	20504.75825	20505.51547	45.73170732	301.8292683				
107	Spectrogram 1	8	20672.29437	20673.61952	42.07317073	340.8536585				
108	Spectrogram 1	8	20679.15673	20680.62385	18.90243902	329.8780488				
109	Spectrogram 1	8	20796.85796	20798.13578	23.7804878	189.6341463				
110	Spectrogram 1	8	21217.96995	21219.01114	82.31707317	366.4634146				
111	Spectrogram 1	8	21551.00716	21552.143	50.6097561	310.3658537				
112	Spectrogram 1	8	21600.48711	21601.40998	62.19512195	395.1219512				
113	Spectrogram 1	8	21691.28317	21692.51367	42.07317073	317.6829268				
114	Spectrogram 1	8	21768.99343	21770.03462	52.43902439	292.6829268				
115	Spectrogram 1	8	21825.83267	21826.73187	31.09756098	328.6585366				
116	Spectrogram 1	8	21901.46056	21902.73838	16.46341463	277.4390244				
117	Spectrogram 1	8	21904.2055	21905.67263	0	221.3414634				
118	Spectrogram 1	8	21999.94719	22000.98838	62.80487805	387.195122				
119	Spectrogram 1	8	22325.03354	22326.16937	59.14634146	364.0243902				
120	Spectrogram 1	8	22339.23151	22340.50933	51.82926829	375				
121	Spectrogram 1	8	22354.18671	22355.51186	39.63414634	422.5609756				
122	Spectrogram 1	8	22425.46056	22426.64372	22.56097561	361.5853659				
123	Spectrogram 1	8	22470.98874	22471.84062	32.31707317	296.9512195				
124	Spectrogram 1	8	22472.69249	22473.73368	37.19512195	320.1219512				
