Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
1	Spectrogram 1	1	30.0	52.152000000000044	22.152000000000044	71.8	470.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200809-NOPP4_CH09\NOPP4_Clips_Bac_3100_20080918_021500_8764s520ms_ch09.aif	30.0	NOPP4_Clips_Bac_3100_20080918_021500_8764s520ms_ch09.aif	MW	nan	raven	0.0
2	Spectrogram 1	1	29.9995	59.73450000000058	29.73500000000058	100.9	340.9	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200809-NOPP4_CH09\NOPP4_Clips_Bac_3100_20080918_073000_27327s382ms_ch09.aif	29.9995	NOPP4_Clips_Bac_3100_20080918_073000_27327s382ms_ch09.aif	MW	nan	raven	0.0
3	Spectrogram 1	1	30.0	62.840000000000146	32.840000000000146	39.1	348.2	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200809-NOPP4_CH09\NOPP4_Clips_Bac_3100_20080918_073000_27772s253ms_ch09.aif	30.0	NOPP4_Clips_Bac_3100_20080918_073000_27772s253ms_ch09.aif	MW	nan	raven	0.0
4	Spectrogram 1	1	29.9995	62.48149999999997	32.48199999999997	50.0	399.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200809-NOPP4_CH09\NOPP4_Clips_Bac_3100_20080918_080000_29598s237ms_ch09.aif	29.9995	NOPP4_Clips_Bac_3100_20080918_080000_29598s237ms_ch09.aif	MW	nan	raven	0.0
5	Spectrogram 1	1	29.9995	64.85449999999956	34.85499999999956	60.9	313.6	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200809-NOPP4_CH09\NOPP4_Clips_Bac_3100_20080918_081500_29804s768ms_ch09.aif	29.9995	NOPP4_Clips_Bac_3100_20080918_081500_29804s768ms_ch09.aif	MW	nan	raven	0.0
6	Spectrogram 1	1	30.0	66.42200000000048	36.42200000000048	70.0	330.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200809-NOPP4_CH09\NOPP4_Clips_Bac_3100_20080918_081500_29860s626ms_ch09.aif	30.0	NOPP4_Clips_Bac_3100_20080918_081500_29860s626ms_ch09.aif	MW	nan	raven	0.0
7	Spectrogram 1	1	30.0	81.65300000000025	51.65300000000025	48.2	350.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200809-NOPP4_CH09\NOPP4_Clips_Bac_3100_20080918_081500_29929s215ms_ch09.aif	30.0	NOPP4_Clips_Bac_3100_20080918_081500_29929s215ms_ch09.aif	MW	nan	raven	0.0
8	Spectrogram 1	1	30.0	42.36000000000058	12.360000000000582	70.0	264.5	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200809-NOPP4_CH09\NOPP4_Clips_Bac_3100_20080918_081500_30063s111ms_ch09.aif	30.0	NOPP4_Clips_Bac_3100_20080918_081500_30063s111ms_ch09.aif	MW	nan	raven	0.0
9	Spectrogram 1	1	29.9995	48.98749999999937	18.98799999999937	73.6	302.7	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200809-NOPP4_CH09\NOPP4_Clips_Bac_3100_20080918_081500_30176s751ms_ch09.aif	29.9995	NOPP4_Clips_Bac_3100_20080918_081500_30176s751ms_ch09.aif	MW	nan	raven	0.0
10	Spectrogram 1	1	29.9995	57.58550000000115	27.586000000001146	55.5	319.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200809-NOPP4_CH09\NOPP4_Clips_Bac_3100_20080918_081500_30541s763ms_ch09.aif	29.9995	NOPP4_Clips_Bac_3100_20080918_081500_30541s763ms_ch09.aif	MW	nan	raven	0.0
11	Spectrogram 1	1	85.7525	105.9935000000018	20.241000000001804	70.0	239.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200809-NOPP4_CH09\NOPP4_Clips_Bac_3100_20080918_081500_30541s763ms_ch09.aif	85.7525	NOPP4_Clips_Bac_3100_20080918_081500_30541s763ms_ch09.aif	MW	nan	raven	0.0
12	Spectrogram 1	1	30.0	66.36199999999735	36.36199999999735	46.4	313.6	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200809-NOPP4_CH09\NOPP4_Clips_Bac_3100_20080918_083000_30710s260ms_ch09.aif	30.0	NOPP4_Clips_Bac_3100_20080918_083000_30710s260ms_ch09.aif	MW	nan	raven	0.0
13	Spectrogram 1	1	30.0	69.64600000000064	39.64600000000064	44.5	324.5	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200809-NOPP4_CH09\NOPP4_Clips_Bac_3100_20080918_083000_30923s777ms_ch09.aif	30.0	NOPP4_Clips_Bac_3100_20080918_083000_30923s777ms_ch09.aif	MW	nan	raven	0.0
