Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
1	Spectrogram 1	1	0.1	72.81500000000001	72.71500000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200903-NOPP6a_CH01\noise\NOPP6a_Clips_Ano_1000_20090315_000000_180s990ms_ch01.aif	0.1	NOPP6a_Clips_Ano_1000_20090315_000000_180s990ms_ch01.aif	NN	nan	raven	0.0
2	Spectrogram 1	1	0.1	103.64	103.54	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200903-NOPP6a_CH01\noise\NOPP6a_Clips_Ano_1000_20090315_000000_419s520ms_ch01.aif	0.1	NOPP6a_Clips_Ano_1000_20090315_000000_419s520ms_ch01.aif	NN	nan	raven	0.0
3	Spectrogram 1	1	0.1	91.3095	91.2095	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200903-NOPP6a_CH01\noise\NOPP6a_Clips_Ano_1000_20090315_000000_784s905ms_ch01.aif	0.1	NOPP6a_Clips_Ano_1000_20090315_000000_784s905ms_ch01.aif	NN	nan	raven	0.0
4	Spectrogram 1	1	0.1	66.1995	66.0995	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200903-NOPP6a_CH01\noise\NOPP6a_Clips_Ano_1000_20090315_001500_1333s425ms_ch01.aif	0.1	NOPP6a_Clips_Ano_1000_20090315_001500_1333s425ms_ch01.aif	NN	nan	raven	0.0
5	Spectrogram 1	1	0.1	70.92500000000001	70.82500000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200903-NOPP6a_CH01\noise\NOPP6a_Clips_Ano_1000_20090315_001500_1505s355ms_ch01.aif	0.1	NOPP6a_Clips_Ano_1000_20090315_001500_1505s355ms_ch01.aif	NN	nan	raven	0.0
6	Spectrogram 1	1	0.1	68.5395	68.43950000000001	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200903-NOPP6a_CH01\noise\NOPP6a_Clips_Ano_1000_20090315_001500_1651s290ms_ch01.aif	0.1	NOPP6a_Clips_Ano_1000_20090315_001500_1651s290ms_ch01.aif	NN	nan	raven	0.0
7	Spectrogram 1	1	0.1	67.90950000000001	67.80950000000001	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200903-NOPP6a_CH01\noise\NOPP6a_Clips_Ano_1000_20090315_001500_1713s525ms_ch01.aif	0.1	NOPP6a_Clips_Ano_1000_20090315_001500_1713s525ms_ch01.aif	NN	nan	raven	0.0
8	Spectrogram 1	1	0.1	73.3545	73.25450000000001	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200903-NOPP6a_CH01\noise\NOPP6a_Clips_Ano_1000_20090315_003000_2048s940ms_ch01.aif	0.1	NOPP6a_Clips_Ano_1000_20090315_003000_2048s940ms_ch01.aif	NN	nan	raven	0.0
9	Spectrogram 1	1	0.1	68.22500000000001	68.12500000000001	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200903-NOPP6a_CH01\noise\NOPP6a_Clips_Ano_1000_20090315_003000_2100s135ms_ch01.aif	0.1	NOPP6a_Clips_Ano_1000_20090315_003000_2100s135ms_ch01.aif	NN	nan	raven	0.0
10	Spectrogram 1	1	0.1	69.75500000000001	69.65500000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200903-NOPP6a_CH01\noise\NOPP6a_Clips_Ano_1000_20090315_003000_2229s195ms_ch01.aif	0.1	NOPP6a_Clips_Ano_1000_20090315_003000_2229s195ms_ch01.aif	NN	nan	raven	0.0
11	Spectrogram 1	1	0.1	76.235	76.135	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200903-NOPP6a_CH01\noise\NOPP6a_Clips_Ano_1000_20090315_003000_2291s160ms_ch01.aif	0.1	NOPP6a_Clips_Ano_1000_20090315_003000_2291s160ms_ch01.aif	NN	nan	raven	0.0
12	Spectrogram 1	1	0.1	74.84	74.74000000000001	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200903-NOPP6a_CH01\noise\NOPP6a_Clips_Ano_1000_20090315_003000_2644s665ms_ch01.aif	0.1	NOPP6a_Clips_Ano_1000_20090315_003000_2644s665ms_ch01.aif	NN	nan	raven	0.0
