Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
1	Spectrogram 1	1	18.6515	60.89949999999959	42.24799999999959	39.3	438.5	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200905-NOPP7a_CH01\NOPP7a_Clips_Ano_1000_20090715_001500_1294s590ms_ch01.aif	18.6515	NOPP7a_Clips_Ano_1000_20090715_001500_1294s590ms_ch01.aif	NN	nan	raven	0.0
2	Spectrogram 1	1	0.0465	47.04349999999575	46.99699999999575	37.9	421.3	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200905-NOPP7a_CH01\NOPP7a_Clips_Ano_1000_20090715_001500_1452s180ms_ch01.aif	0.0465	NOPP7a_Clips_Ano_1000_20090715_001500_1452s180ms_ch01.aif	NN	nan	raven	0.0
3	Spectrogram 1	1	107.8785	152.25449999999657	44.375999999996566	47.9	377.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200905-NOPP7a_CH01\NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	107.8785	NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	NN	nan	raven	0.0
4	Spectrogram 1	1	186.6415	221.02949999999902	34.38799999999901	29.3	368.4	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200905-NOPP7a_CH01\NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	186.6415	NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	NN	nan	raven	0.0
5	Spectrogram 1	1	310.6005	354.15850000000455	43.55800000000454	42.2	359.8	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200905-NOPP7a_CH01\NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	310.6005	NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	NN	nan	raven	0.0
6	Spectrogram 1	1	385.1065	423.75150000000406	38.645000000004075	43.6	361.2	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200905-NOPP7a_CH01\NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	385.1065	NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	NN	nan	raven	0.0
7	Spectrogram 1	1	42.913	88.1079999999997	45.19499999999971	29.3	351.2	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200905-NOPP7a_CH01\NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif	42.913	NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif	NN	nan	raven	0.0
8	Spectrogram 1	1	166.708	197.16599999999872	30.45799999999872	35.1	341.2	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200905-NOPP7a_CH01\NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif	166.708	NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif	NN	nan	raven	0.0
9	Spectrogram 1	1	234.501	271.18100000000027	36.68000000000026	26.5	355.5	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200905-NOPP7a_CH01\NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif	234.501	NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif	NN	nan	raven	0.0
10	Spectrogram 1	1	345.851	373.0330000000007	27.1820000000007	32.2	382.7	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200905-NOPP7a_CH01\NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif	345.851	NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif	NN	nan	raven	0.0
