Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Begin Path	score	rating	tags	notes
1389	Waveform 1	1	39352.154000000	39394.402000000	39.300	438.500	18.6515	NOPP7a_Clips_Ano_1000_20090715_001500_1294s590ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_001500_1294s590ms_ch01.aif				
1389	Spectrogram 1	1	39352.154000000	39394.402000000	39.300	438.500	18.6515	NOPP7a_Clips_Ano_1000_20090715_001500_1294s590ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_001500_1294s590ms_ch01.aif				
1390	Waveform 1	1	39421.584000000	39468.581000000	37.900	421.300	0.0465	NOPP7a_Clips_Ano_1000_20090715_001500_1452s180ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_001500_1452s180ms_ch01.aif				
1390	Spectrogram 1	1	39421.584000000	39468.581000000	37.900	421.300	0.0465	NOPP7a_Clips_Ano_1000_20090715_001500_1452s180ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_001500_1452s180ms_ch01.aif				
1392	Waveform 1	1	39600.891000000	39645.267000000	47.900	377.000	107.8785	NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif				
1392	Spectrogram 1	1	39600.891000000	39645.267000000	47.900	377.000	107.8785	NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif				
1393	Waveform 1	1	39679.654000000	39714.042000000	29.300	368.400	186.6415	NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif				
1393	Spectrogram 1	1	39679.654000000	39714.042000000	29.300	368.400	186.6415	NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif				
1394	Waveform 1	1	39803.613000000	39847.171000000	42.200	359.800	310.6005	NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif				
1394	Spectrogram 1	1	39803.613000000	39847.171000000	42.200	359.800	310.6005	NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif				
1395	Waveform 1	1	39878.119000000	39916.764000000	43.600	361.200	385.1065	NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif				
1395	Spectrogram 1	1	39878.119000000	39916.764000000	43.600	361.200	385.1065	NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_001500_900s270ms_ch01.aif				
1396	Waveform 1	1	40016.488000000	40061.683000000	29.300	351.200	42.9130	NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif				
1396	Spectrogram 1	1	40016.488000000	40061.683000000	29.300	351.200	42.9130	NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif				
1397	Waveform 1	1	40140.283000000	40170.741000000	35.100	341.200	166.7080	NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif				
1397	Spectrogram 1	1	40140.283000000	40170.741000000	35.100	341.200	166.7080	NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP7a_Clips_Ano_1000_20090715_003000_2244s450ms_ch01.aif				
