Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Begin Path	score	rating	tags	notes
1847	Waveform 1	1	49884.853000000	49922.281000000	46.600	197.600	0.5395	NOPP8_Clips_Ano_1000_20091015_034500_13596s345ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET02\NOPP8_Clips_Ano_1000_20091015_034500_13596s345ms_ch03.aif			Bac_3100	
1847	Spectrogram 1	1	49884.853000000	49922.281000000	46.600	197.600	0.5395	NOPP8_Clips_Ano_1000_20091015_034500_13596s345ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET02\NOPP8_Clips_Ano_1000_20091015_034500_13596s345ms_ch03.aif			Bac_3100	
1848	Waveform 1	1	51242.103000000	51254.696000000	97.200	274.000	28.5085	NOPP8_Clips_Ano_1000_20091015_064500_24488s730ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET02\NOPP8_Clips_Ano_1000_20091015_064500_24488s730ms_ch03.aif				
1848	Spectrogram 1	1	51242.103000000	51254.696000000	97.200	274.000	28.5085	NOPP8_Clips_Ano_1000_20091015_064500_24488s730ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET02\NOPP8_Clips_Ano_1000_20091015_064500_24488s730ms_ch03.aif				
1849	Waveform 1	1	52417.719000000	52478.216000000	47.500	123.900	1.0320	NOPP8_Clips_Ano_1000_20091015_074500_28556s340ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET02\NOPP8_Clips_Ano_1000_20091015_074500_28556s340ms_ch03.aif				
1849	Spectrogram 1	1	52417.719000000	52478.216000000	47.500	123.900	1.0320	NOPP8_Clips_Ano_1000_20091015_074500_28556s340ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET02\NOPP8_Clips_Ano_1000_20091015_074500_28556s340ms_ch03.aif				
1850	Waveform 1	1	68201.228000000	68254.663000000	76.800	128.300	55.8495	NOPP8_Clips_Ano_1000_20091015_201500_73174s995ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET02\NOPP8_Clips_Ano_1000_20091015_201500_73174s995ms_ch03.aif			Bac_3100	
1850	Spectrogram 1	1	68201.228000000	68254.663000000	76.800	128.300	55.8495	NOPP8_Clips_Ano_1000_20091015_201500_73174s995ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET02\NOPP8_Clips_Ano_1000_20091015_201500_73174s995ms_ch03.aif			Bac_3100	
1851	Waveform 1	1	70444.970000000	70480.633000000	36.000	75.900	69.3425	NOPP8_Clips_Ano_1000_20091015_210000_76438s230ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET02\NOPP8_Clips_Ano_1000_20091015_210000_76438s230ms_ch03.aif				
1851	Spectrogram 1	1	70444.970000000	70480.633000000	36.000	75.900	69.3425	NOPP8_Clips_Ano_1000_20091015_210000_76438s230ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET02\NOPP8_Clips_Ano_1000_20091015_210000_76438s230ms_ch03.aif				
1852	Waveform 1	1	70743.134000000	70764.555000000	42.200	96.400	138.9750	NOPP8_Clips_Ano_1000_20091015_211500_77054s115ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET02\NOPP8_Clips_Ano_1000_20091015_211500_77054s115ms_ch03.aif				
1852	Spectrogram 1	1	70743.134000000	70764.555000000	42.200	96.400	138.9750	NOPP8_Clips_Ano_1000_20091015_211500_77054s115ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET02\NOPP8_Clips_Ano_1000_20091015_211500_77054s115ms_ch03.aif				
