Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Begin Path	score	rating	tags	notes
1	Waveform 1	1	127.364312100	128.009632300	25.852	468.337	127.3645	ch7_NOPP8_EST_20091030_000000.aif	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200910-NOPP8_CH07\ch7_NOPP8_EST_20091030_000000.aif				
1	Spectrogram 1	1	127.364312100	128.009632300	25.852	468.337	127.3645	ch7_NOPP8_EST_20091030_000000.aif	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200910-NOPP8_CH07\ch7_NOPP8_EST_20091030_000000.aif				
2	Waveform 1	1	132.342496500	133.103052400	0.000	487.575	132.3425	ch7_NOPP8_EST_20091030_000000.aif	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200910-NOPP8_CH07\ch7_NOPP8_EST_20091030_000000.aif				
2	Spectrogram 1	1	132.342496500	133.103052400	0.000	487.575	132.3425	ch7_NOPP8_EST_20091030_000000.aif	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200910-NOPP8_CH07\ch7_NOPP8_EST_20091030_000000.aif				
3	Waveform 1	1	143.819977100	144.373108700	21.042	535.671	143.8200	ch7_NOPP8_EST_20091030_000000.aif	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200910-NOPP8_CH07\ch7_NOPP8_EST_20091030_000000.aif				
3	Spectrogram 1	1	143.819977100	144.373108700	21.042	535.671	143.8200	ch7_NOPP8_EST_20091030_000000.aif	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200910-NOPP8_CH07\ch7_NOPP8_EST_20091030_000000.aif				
4	Waveform 1	1	214.211734700	215.018384900	9.018	541.683	214.2115	ch7_NOPP8_EST_20091030_000000.aif	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200910-NOPP8_CH07\ch7_NOPP8_EST_20091030_000000.aif				
4	Spectrogram 1	1	214.211734700	215.018384900	9.018	541.683	214.2115	ch7_NOPP8_EST_20091030_000000.aif	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200910-NOPP8_CH07\ch7_NOPP8_EST_20091030_000000.aif				
5	Waveform 1	1	234.925360700	235.685916600	15.030	556.112	234.9255	ch7_NOPP8_EST_20091030_000000.aif	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200910-NOPP8_CH07\ch7_NOPP8_EST_20091030_000000.aif				
5	Spectrogram 1	1	234.925360700	235.685916600	15.030	556.112	234.9255	ch7_NOPP8_EST_20091030_000000.aif	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200910-NOPP8_CH07\ch7_NOPP8_EST_20091030_000000.aif				
