Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
1	Spectrogram 1	1	0.1	43.1395	43.0395	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200912-NOPP9_CH10\noise\NOPP9_Clips_Bac_FP_20091214_153000_025s110ms_ch10.aif	0.1	NOPP9_Clips_Bac_FP_20091214_153000_025s110ms_ch10.aif	NN	nan	raven	0.0
2	Spectrogram 1	1	0.1	49.3495	49.2495	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200912-NOPP9_CH10\noise\NOPP9_Clips_Bac_FP_20091214_153000_526s935ms_ch10.aif	0.1	NOPP9_Clips_Bac_FP_20091214_153000_526s935ms_ch10.aif	NN	nan	raven	0.0
3	Spectrogram 1	1	0.1	70.85950000000001	70.75950000000002	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200912-NOPP9_CH10\noise\NOPP9_Clips_Bac_FP_20091214_153000_770s220ms_ch10.aif	0.1	NOPP9_Clips_Bac_FP_20091214_153000_770s220ms_ch10.aif	NN	nan	raven	0.0
4	Spectrogram 1	1	0.1	58.214999999999996	58.114999999999995	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200912-NOPP9_CH10\noise\NOPP9_Clips_Bac_FP_20091214_154500_1716s765ms_ch10.aif	0.1	NOPP9_Clips_Bac_FP_20091214_154500_1716s765ms_ch10.aif	NN	nan	raven	0.0
5	Spectrogram 1	1	0.1	52.995	52.894999999999996	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200912-NOPP9_CH10\noise\NOPP9_Clips_Bac_FP_20091214_160000_2224s260ms_ch10.aif	0.1	NOPP9_Clips_Bac_FP_20091214_160000_2224s260ms_ch10.aif	NN	nan	raven	0.0
6	Spectrogram 1	1	0.1	52.1395	52.0395	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200912-NOPP9_CH10\noise\NOPP9_Clips_Bac_FP_20091214_164500_4653s510ms_ch10.aif	0.1	NOPP9_Clips_Bac_FP_20091214_164500_4653s510ms_ch10.aif	NN	nan	raven	0.0
7	Spectrogram 1	1	0.1	44.3545	44.2545	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200912-NOPP9_CH10\noise\NOPP9_Clips_Bac_FP_20091214_164500_5062s005ms_ch10.aif	0.1	NOPP9_Clips_Bac_FP_20091214_164500_5062s005ms_ch10.aif	NN	nan	raven	0.0
8	Spectrogram 1	1	0.1	62.58	62.48	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200912-NOPP9_CH10\noise\NOPP9_Clips_Bac_FP_20091214_173000_7928s820ms_ch10.aif	0.1	NOPP9_Clips_Bac_FP_20091214_173000_7928s820ms_ch10.aif	NN	nan	raven	0.0
9	Spectrogram 1	1	0.1	54.615	54.515	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200912-NOPP9_CH10\noise\NOPP9_Clips_Bac_FP_20091214_191500_13991s505ms_ch10.aif	0.1	NOPP9_Clips_Bac_FP_20091214_191500_13991s505ms_ch10.aif	NN	nan	raven	0.0
10	Spectrogram 1	1	0.1	52.725	52.625	0.0	1000.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-NEFSC-SBNMS-200912-NOPP9_CH10\noise\NOPP9_Clips_Bac_FP_20091214_193000_14969s460ms_ch10.aif	0.1	NOPP9_Clips_Bac_FP_20091214_193000_14969s460ms_ch10.aif	NN	nan	raven	0.0
