Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Begin Path	score	rating	tags	notes
478	Waveform 1	1	31308.969000000	31377.316000000	92.400	397.300	29.9995	NOPP4_Clips_Bac_3100_20080919_030000_10888s897ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_10888s897ms_ch10.aif			Bac_3100	
478	Spectrogram 1	1	31308.969000000	31377.316000000	92.400	397.300	29.9995	NOPP4_Clips_Bac_3100_20080919_030000_10888s897ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_10888s897ms_ch10.aif			Bac_3100	
479	Waveform 1	1	31386.262000000	31404.828000000	110.800	387.400	107.2925	NOPP4_Clips_Bac_3100_20080919_030000_10888s897ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_10888s897ms_ch10.aif			Bac_3100	
479	Spectrogram 1	1	31386.262000000	31404.828000000	110.800	387.400	107.2925	NOPP4_Clips_Bac_3100_20080919_030000_10888s897ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_10888s897ms_ch10.aif			Bac_3100	
480	Waveform 1	1	31413.310000000	31422.206000000	52.900	362.000	134.3405	NOPP4_Clips_Bac_3100_20080919_030000_10888s897ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_10888s897ms_ch10.aif			Bac_3100	
480	Spectrogram 1	1	31413.310000000	31422.206000000	52.900	362.000	134.3405	NOPP4_Clips_Bac_3100_20080919_030000_10888s897ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_10888s897ms_ch10.aif			Bac_3100	
481	Waveform 1	1	31482.206000000	31519.151000000	50.100	402.900	30.0000	NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif			Bac_3100	
481	Spectrogram 1	1	31482.206000000	31519.151000000	50.100	402.900	30.0000	NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif			Bac_3100	
482	Waveform 1	1	31542.735000000	31554.975000000	81.100	405.700	90.5290	NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif			Bac_3100	
482	Spectrogram 1	1	31542.735000000	31554.975000000	81.100	405.700	90.5290	NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif			Bac_3100	
483	Waveform 1	1	31583.143000000	31598.309000000	79.700	370.500	130.9370	NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif			Bac_3100	
483	Spectrogram 1	1	31583.143000000	31598.309000000	79.700	370.500	130.9370	NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif			Bac_3100	
484	Waveform 1	1	31619.013000000	31630.178000000	47.300	400.100	166.8070	NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif			Bac_3100	
484	Spectrogram 1	1	31619.013000000	31630.178000000	47.300	400.100	166.8070	NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_11422s525ms_ch10.aif			Bac_3100	
485	Waveform 1	1	31690.178000000	31729.915000000	81.100	315.400	30.0000	NOPP4_Clips_Bac_3100_20080919_030000_11630s310ms_ch10.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET01\NOPP4_Clips_Bac_3100_20080919_030000_11630s310ms_ch10.aif			Bac_3100	
