Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Begin Path	score	rating	tags	notes
2861	Waveform 1	1	107885.570000000	107904.394000000	0.000	269.500	16.3765	NOPP8_Clips_minke_pt_20091027_221500_602s684ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP8_Clips_minke_pt_20091027_221500_602s684ms_ch01.aif	0.30101		Bac_3100	
2861	Spectrogram 1	1	107885.570000000	107904.394000000	0.000	269.500	16.3765	NOPP8_Clips_minke_pt_20091027_221500_602s684ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP8_Clips_minke_pt_20091027_221500_602s684ms_ch01.aif	0.30101		Bac_3100	
2862	Waveform 1	1	107942.751000000	107967.181000000	0.000	289.100	24.4295	NOPP8_Clips_minke_pt_20091027_221500_647s875ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP8_Clips_minke_pt_20091027_221500_647s875ms_ch01.aif	0.49576		Bac_3100	
2862	Spectrogram 1	1	107942.751000000	107967.181000000	0.000	289.100	24.4295	NOPP8_Clips_minke_pt_20091027_221500_647s875ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP8_Clips_minke_pt_20091027_221500_647s875ms_ch01.aif	0.49576		Bac_3100	
2863	Waveform 1	1	108044.498000000	108097.384000000	0.000	289.100	52.8870	NOPP8_Clips_minke_pt_20091027_221500_700s404ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP8_Clips_minke_pt_20091027_221500_700s404ms_ch01.aif	0.42507		Bac_3100	
2863	Spectrogram 1	1	108044.498000000	108097.384000000	0.000	289.100	52.8870	NOPP8_Clips_minke_pt_20091027_221500_700s404ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP8_Clips_minke_pt_20091027_221500_700s404ms_ch01.aif	0.42507		Bac_3100	
2864	Waveform 1	1	108187.318000000	108233.605000000	0.000	289.100	37.0475	NOPP8_Clips_minke_pt_20091027_221500_758s033ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP8_Clips_minke_pt_20091027_221500_758s033ms_ch01.aif	0.46611		Bac_3100	
2864	Spectrogram 1	1	108187.318000000	108233.605000000	0.000	289.100	37.0475	NOPP8_Clips_minke_pt_20091027_221500_758s033ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP8_Clips_minke_pt_20091027_221500_758s033ms_ch01.aif	0.46611		Bac_3100	
2865	Waveform 1	1	108281.368000000	108301.324000000	0.000	300.000	19.9555	NOPP8_Clips_minke_pt_20091027_223000_1063s540ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP8_Clips_minke_pt_20091027_223000_1063s540ms_ch01.aif	0.45486		Bac_3100	
2865	Spectrogram 1	1	108281.368000000	108301.324000000	0.000	300.000	19.9555	NOPP8_Clips_minke_pt_20091027_223000_1063s540ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP8_Clips_minke_pt_20091027_223000_1063s540ms_ch01.aif	0.45486		Bac_3100	
