Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Begin Path	score	rating	tags	notes
2899	Waveform 1	1	7592.073000000	7627.714000000	95.000	185.200	2194.8475	NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif			Bac_3100	
2899	Spectrogram 1	1	7592.073000000	7627.714000000	95.000	185.200	2194.8475	NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif			Bac_3100	
2900	Waveform 1	1	10614.070000000	10654.550000000	61.000	170.400	5216.8445	NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif			Bac_3100	
2900	Spectrogram 1	1	10614.070000000	10654.550000000	61.000	170.400	5216.8445	NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif			Bac_3100	
2901	Waveform 1	1	12210.499000000	12242.364000000	116.200	177.800	6813.2735	NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif			Bac_3100	
2901	Spectrogram 1	1	12210.499000000	12242.364000000	116.200	177.800	6813.2735	NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif			Bac_3100	
2902	Waveform 1	1	12256.644000000	12271.161000000	24.900	201.200	6859.4185	NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif				
2902	Spectrogram 1	1	12256.644000000	12271.161000000	24.900	201.200	6859.4185	NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif				
2903	Waveform 1	1	13673.628000000	13704.312000000	24.900	126.900	8276.4025	NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif				
2903	Spectrogram 1	1	13673.628000000	13704.312000000	24.900	126.900	8276.4025	NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET03\NOPP6_Clips_Ano_1000_20090515_104500_39000s090ms_ch03.aif				
