Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Begin Path	score	rating	tags	notes
1215	Waveform 1	1	62002.400000000	62058.436000000	0.000	191.400	6.7065	NOPP8a_Clips_minke_pt_20090802_201500_011s624ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP8a_Clips_minke_pt_20090802_201500_011s624ms_ch01.aif	0.24333		Bac_3100	
1215	Spectrogram 1	1	62002.400000000	62058.436000000	0.000	191.400	6.7065	NOPP8a_Clips_minke_pt_20090802_201500_011s624ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP8a_Clips_minke_pt_20090802_201500_011s624ms_ch01.aif	0.24333		Bac_3100	
1218	Waveform 1	1	62077.522000000	62121.639000000	0.000	289.100	12.8860	NOPP8a_Clips_minke_pt_20091001_000000_012s886ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP8a_Clips_minke_pt_20091001_000000_012s886ms_ch01.aif	0.44225		Bac_3100	
1218	Spectrogram 1	1	62077.522000000	62121.639000000	0.000	289.100	12.8860	NOPP8a_Clips_minke_pt_20091001_000000_012s886ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP8a_Clips_minke_pt_20091001_000000_012s886ms_ch01.aif	0.44225		Bac_3100	
1219	Waveform 1	1	62210.857000000	62255.958000000	0.000	285.200	45.1015	NOPP8a_Clips_minke_pt_20091001_000000_086s623ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP8a_Clips_minke_pt_20091001_000000_086s623ms_ch01.aif	0.3661		Bac_3100	
1219	Spectrogram 1	1	62210.857000000	62255.958000000	0.000	285.200	45.1015	NOPP8a_Clips_minke_pt_20091001_000000_086s623ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP8a_Clips_minke_pt_20091001_000000_086s623ms_ch01.aif	0.3661		Bac_3100	
1220	Waveform 1	1	62330.948000000	62360.836000000	0.000	289.100	29.8890	NOPP8a_Clips_minke_pt_20091001_000000_154s990ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP8a_Clips_minke_pt_20091001_000000_154s990ms_ch01.aif	0.47278		Bac_3100	
1220	Spectrogram 1	1	62330.948000000	62360.836000000	0.000	289.100	29.8890	NOPP8a_Clips_minke_pt_20091001_000000_154s990ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP8a_Clips_minke_pt_20091001_000000_154s990ms_ch01.aif	0.47278		Bac_3100	
1221	Waveform 1	1	62445.580000000	62500.435000000	0.000	289.100	54.8555	NOPP8a_Clips_minke_pt_20091001_000000_206s356ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP8a_Clips_minke_pt_20091001_000000_206s356ms_ch01.aif	0.34667		Bac_3100	
1221	Spectrogram 1	1	62445.580000000	62500.435000000	0.000	289.100	54.8555	NOPP8a_Clips_minke_pt_20091001_000000_206s356ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP8a_Clips_minke_pt_20091001_000000_206s356ms_ch01.aif	0.34667		Bac_3100	
1222	Waveform 1	1	62607.192000000	62659.095000000	0.000	300.000	51.9020	NOPP8a_Clips_minke_pt_20091001_000000_282s330ms_ch01.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET04\NOPP8a_Clips_minke_pt_20091001_000000_282s330ms_ch01.aif	0.37923		Bac_3100	
