Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
1	Spectrogram 1	1	11.9155	18.076499999992784	6.160999999992784	3.9	300.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_006s532ms_ch01.aif	11.9155	NOPP8_Clips_minke_pt_20091003_000000_006s532ms_ch01.aif	MW	nan	raven	0.0
2	Spectrogram 1	1	20.7095	32.656500000000115	11.947000000000116	3.9	300.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_034s452ms_ch01.aif	20.7095	NOPP8_Clips_minke_pt_20091003_000000_034s452ms_ch01.aif	MW	nan	raven	0.0
3	Spectrogram 1	1	50.023	76.73700000000721	26.71400000000721	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_064s967ms_ch01.aif	50.023	NOPP8_Clips_minke_pt_20091003_000000_064s967ms_ch01.aif	MW	nan	raven	0.0
4	Spectrogram 1	1	36.496	70.39400000000106	33.898000000001055	3.9	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_123s849ms_ch01.aif	36.496	NOPP8_Clips_minke_pt_20091003_000000_123s849ms_ch01.aif	MW	nan	raven	0.0
5	Spectrogram 1	1	89.741	101.56700000000093	11.826000000000931	3.9	187.5	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_123s849ms_ch01.aif	89.741	NOPP8_Clips_minke_pt_20091003_000000_123s849ms_ch01.aif	MW	nan	raven	0.0
6	Spectrogram 1	1	31.346	52.61799999999721	21.27199999999721	0.0	203.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_177s452ms_ch01.aif	31.346	NOPP8_Clips_minke_pt_20091003_000000_177s452ms_ch01.aif	MW	nan	raven	0.0
7	Spectrogram 1	1	0.014	17.375000000004423	17.361000000004424	3.9	285.2	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_208s593ms_ch01.aif	0.014	NOPP8_Clips_minke_pt_20091003_000000_208s593ms_ch01.aif	MW	nan	raven	0.0
8	Spectrogram 1	1	17.987	38.23800000000384	20.251000000003838	7.8	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_238s123ms_ch01.aif	17.987	NOPP8_Clips_minke_pt_20091003_000000_238s123ms_ch01.aif	MW	nan	raven	0.0
9	Spectrogram 1	1	19.338	28.165999999994064	8.827999999994063	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_269s623ms_ch01.aif	19.338	NOPP8_Clips_minke_pt_20091003_000000_269s623ms_ch01.aif	MW	nan	raven	0.0
10	Spectrogram 1	1	57.987	103.86099999999615	45.87399999999615	0.0	253.9	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_303s538ms_ch01.aif	57.987	NOPP8_Clips_minke_pt_20091003_000000_303s538ms_ch01.aif	MW	nan	raven	0.0
11	Spectrogram 1	1	9.575	19.14999999999709	9.57499999999709	3.9	214.8	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_366s447ms_ch01.aif	9.575	NOPP8_Clips_minke_pt_20091003_000000_366s447ms_ch01.aif	MW	nan	raven	0.0
12	Spectrogram 1	1	21.478	30.425000000000118	8.947000000000116	3.9	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_389s445ms_ch01.aif	21.478	NOPP8_Clips_minke_pt_20091003_000000_389s445ms_ch01.aif	MW	nan	raven	0.0
13	Spectrogram 1	1	9.486	15.432000000010827	5.946000000010827	3.9	300.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_425s061ms_ch01.aif	9.486	NOPP8_Clips_minke_pt_20091003_000000_425s061ms_ch01.aif	MW	nan	raven	0.0
14	Spectrogram 1	1	35.8845	62.81849999999383	26.93399999999383	0.0	269.5	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_449s938ms_ch01.aif	35.8845	NOPP8_Clips_minke_pt_20091003_000000_449s938ms_ch01.aif	MW	nan	raven	0.0
15	Spectrogram 1	1	60.1355	91.41849999999582	31.282999999995816	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_491s908ms_ch01.aif	60.1355	NOPP8_Clips_minke_pt_20091003_000000_491s908ms_ch01.aif	MW	nan	raven	0.0
16	Spectrogram 1	1	16.3845	57.329499999992436	40.94499999999243	3.9	269.5	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_000000_781s120ms_ch01.aif	16.3845	NOPP8_Clips_minke_pt_20091003_000000_781s120ms_ch01.aif	MW	nan	raven	0.0
17	Spectrogram 1	1	3.0425	6.085499999990571	3.042999999990571	7.8	246.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_001500_1011s101ms_ch01.aif	3.0425	NOPP8_Clips_minke_pt_20091003_001500_1011s101ms_ch01.aif	NN	nan	raven	0.0
18	Spectrogram 1	1	18.537	42.475000000009196	23.938000000009197	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_001500_1094s771ms_ch01.aif	18.537	NOPP8_Clips_minke_pt_20091003_001500_1094s771ms_ch01.aif	MW	nan	raven	0.0
19	Spectrogram 1	1	0.129	18.792000000000467	18.663000000000466	3.9	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_001500_1200s447ms_ch01.aif	0.129	NOPP8_Clips_minke_pt_20091003_001500_1200s447ms_ch01.aif	MW	nan	raven	0.0
20	Spectrogram 1	1	23.419	28.833000000004308	5.414000000004307	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_001500_1200s447ms_ch01.aif	23.419	NOPP8_Clips_minke_pt_20091003_001500_1200s447ms_ch01.aif	MW	nan	raven	0.0
21	Spectrogram 1	1	65.1465	82.71749999999628	17.570999999996275	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_003000_1229s620ms_ch01.aif	65.1465	NOPP8_Clips_minke_pt_20091003_003000_1229s620ms_ch01.aif	MW	nan	raven	0.0
22	Spectrogram 1	1	34.36	58.32099999999569	23.960999999995693	0.0	257.8	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_003000_1300s046ms_ch01.aif	34.36	NOPP8_Clips_minke_pt_20091003_003000_1300s046ms_ch01.aif	MW	nan	raven	0.0
23	Spectrogram 1	1	60.793	90.98300000000233	30.190000000002335	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_003000_1318s480ms_ch01.aif	60.793	NOPP8_Clips_minke_pt_20091003_003000_1318s480ms_ch01.aif	MW	nan	raven	0.0
24	Spectrogram 1	1	99.42	129.70300000001038	30.283000000010375	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_003000_1383s537ms_ch01.aif	99.42	NOPP8_Clips_minke_pt_20091003_003000_1383s537ms_ch01.aif	MW	nan	raven	0.0
25	Spectrogram 1	1	19.8235	30.0674999999915	10.243999999991502	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_003000_1487s878ms_ch01.aif	19.8235	NOPP8_Clips_minke_pt_20091003_003000_1487s878ms_ch01.aif	MW	nan	raven	0.0
26	Spectrogram 1	1	8.8595	20.669500000012224	11.810000000012224	3.9	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_003000_1523s762ms_ch01.aif	8.8595	NOPP8_Clips_minke_pt_20091003_003000_1523s762ms_ch01.aif	MW	nan	raven	0.0
27	Spectrogram 1	1	15.984	48.984	33.0	0.0	300.0	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_003000_1587s119ms_ch01.aif	15.984	NOPP8_Clips_minke_pt_20091003_003000_1587s119ms_ch01.aif	MW	nan	raven	0.0
28	Spectrogram 1	1	52.9885	85.06150000000396	32.07300000000396	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_004500_1800s715ms_ch01.aif	52.9885	NOPP8_Clips_minke_pt_20091003_004500_1800s715ms_ch01.aif	MW	nan	raven	0.0
29	Spectrogram 1	1	39.5845	66.05249999999347	26.467999999993474	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_010000_1857s360ms_ch01.aif	39.5845	NOPP8_Clips_minke_pt_20091003_010000_1857s360ms_ch01.aif	MW	nan	raven	0.0
30	Spectrogram 1	1	18.792	37.58400000000128	18.79200000000128	3.9	285.2	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_011500_1906s489ms_ch01.aif	18.792	NOPP8_Clips_minke_pt_20091003_011500_1906s489ms_ch01.aif	MW	nan	raven	0.0
31	Spectrogram 1	1	25.7725	49.90650000000547	24.13400000000547	3.9	285.2	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_011500_1945s773ms_ch01.aif	25.7725	NOPP8_Clips_minke_pt_20091003_011500_1945s773ms_ch01.aif	MW	nan	raven	0.0
32	Spectrogram 1	1	8.9485	17.8975000000078	8.9490000000078	7.8	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_011500_1988s369ms_ch01.aif	8.9485	NOPP8_Clips_minke_pt_20091003_011500_1988s369ms_ch01.aif	MW	nan	raven	0.0
33	Spectrogram 1	1	26.237	35.97399999999371	9.73699999999371	3.9	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_011500_2002s239ms_ch01.aif	26.237	NOPP8_Clips_minke_pt_20091003_011500_2002s239ms_ch01.aif	MW	nan	raven	0.0
34	Spectrogram 1	1	40.627	60.22900000001351	19.602000000013504	0.0	289.1	C:\Users\xavier.mouy\Documents\GitHub\minke-whale-dataset\datasets\USA-SBNMS-NOPP5-20090215\NOPP8_Clips_minke_pt_20091003_011500_2038s929ms_ch01.aif	40.627	NOPP8_Clips_minke_pt_20091003_011500_2038s929ms_ch01.aif	MW	nan	raven	0.0
