Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Begin Path	score	rating	tags	notes
1	Waveform 1	1	30.000000000	79.580000000	70.100	403.400	30.0000	SBNMS_Clips_Bac_3100_20061007_000000_1524s860ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_000000_1524s860ms_ch04.aif			Bac_3100	
1	Spectrogram 1	1	30.000000000	79.580000000	70.100	403.400	30.0000	SBNMS_Clips_Bac_3100_20061007_000000_1524s860ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_000000_1524s860ms_ch04.aif			Bac_3100	
2	Waveform 1	1	139.580000000	161.315000000	75.400	514.600	30.0000	SBNMS_Clips_Bac_3100_20061007_000000_457s122ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_000000_457s122ms_ch04.aif			Bac_3100	
2	Spectrogram 1	1	139.580000000	161.315000000	75.400	514.600	30.0000	SBNMS_Clips_Bac_3100_20061007_000000_457s122ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_000000_457s122ms_ch04.aif			Bac_3100	
3	Waveform 1	1	221.315000000	242.111000000	59.500	490.700	30.0000	SBNMS_Clips_Bac_3100_20061007_003000_1975s371ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_1975s371ms_ch04.aif			Bac_3100	
3	Spectrogram 1	1	221.315000000	242.111000000	59.500	490.700	30.0000	SBNMS_Clips_Bac_3100_20061007_003000_1975s371ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_1975s371ms_ch04.aif			Bac_3100	
4	Waveform 1	1	304.283000000	345.716000000	33.100	342.600	32.1725	SBNMS_Clips_Bac_3100_20061007_003000_2149s942ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_2149s942ms_ch04.aif			Bac_3100	
4	Spectrogram 1	1	304.283000000	345.716000000	33.100	342.600	32.1725	SBNMS_Clips_Bac_3100_20061007_003000_2149s942ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_2149s942ms_ch04.aif			Bac_3100	
5	Waveform 1	1	407.344000000	457.864000000	41.000	390.200	30.0005	SBNMS_Clips_Bac_3100_20061007_003000_2345s740ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_2345s740ms_ch04.aif			Bac_3100	
5	Spectrogram 1	1	407.344000000	457.864000000	41.000	390.200	30.0005	SBNMS_Clips_Bac_3100_20061007_003000_2345s740ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_2345s740ms_ch04.aif			Bac_3100	
6	Waveform 1	1	517.863000000	561.569000000	33.100	437.800	29.9995	SBNMS_Clips_Bac_3100_20061007_003000_2546s822ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_2546s822ms_ch04.aif			Bac_3100	
6	Spectrogram 1	1	517.863000000	561.569000000	33.100	437.800	29.9995	SBNMS_Clips_Bac_3100_20061007_003000_2546s822ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_2546s822ms_ch04.aif			Bac_3100	
7	Waveform 1	1	621.569000000	670.444000000	22.500	501.300	30.0000	SBNMS_Clips_Bac_3100_20061007_003000_2781s770ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_2781s770ms_ch04.aif			Bac_3100	
7	Spectrogram 1	1	621.569000000	670.444000000	22.500	501.300	30.0000	SBNMS_Clips_Bac_3100_20061007_003000_2781s770ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_2781s770ms_ch04.aif			Bac_3100	
8	Waveform 1	1	730.444000000	770.155000000	22.500	424.600	30.0000	SBNMS_Clips_Bac_3100_20061007_003000_2972s513ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_2972s513ms_ch04.aif			Bac_3100	
8	Spectrogram 1	1	730.444000000	770.155000000	22.500	424.600	30.0000	SBNMS_Clips_Bac_3100_20061007_003000_2972s513ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_2972s513ms_ch04.aif			Bac_3100	
9	Waveform 1	1	839.049000000	873.273000000	39.600	313.500	38.8940	SBNMS_Clips_Bac_3100_20061007_003000_3142s196ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_3142s196ms_ch04.aif			Bac_3100	
9	Spectrogram 1	1	839.049000000	873.273000000	39.600	313.500	38.8940	SBNMS_Clips_Bac_3100_20061007_003000_3142s196ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_3142s196ms_ch04.aif			Bac_3100	
10	Waveform 1	1	933.273000000	953.481000000	56.900	347.900	30.0000	SBNMS_Clips_Bac_3100_20061007_003000_3264s767ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_3264s767ms_ch04.aif			Bac_3100	
10	Spectrogram 1	1	933.273000000	953.481000000	56.900	347.900	30.0000	SBNMS_Clips_Bac_3100_20061007_003000_3264s767ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_3264s767ms_ch04.aif			Bac_3100	
11	Waveform 1	1	1016.327000000	1054.690000000	17.200	313.500	32.8460	SBNMS_Clips_Bac_3100_20061007_003000_3381s844ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_3381s844ms_ch04.aif			Bac_3100	
11	Spectrogram 1	1	1016.327000000	1054.690000000	17.200	313.500	32.8460	SBNMS_Clips_Bac_3100_20061007_003000_3381s844ms_ch04.aif	C:\Users\xavier.mouy\Documents\Projects\2021_Minke_detector_Cornell\data\from_denise\MASTER_SOUND_LIBRARY\SET05\SBNMS_Clips_Bac_3100_20061007_003000_3381s844ms_ch04.aif			Bac_3100	
